id,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,globalSales
sales_1,Wii Sports,2006-01-01,Nintendo,Nintendo,Wii,76.0,8.0,E,82
sales_2,Mario Kart Wii,2008-01-01,Nintendo,Nintendo,Wii,82.0,8.3,E,35
sales_3,Wii Sports Resort,2009-01-01,Nintendo,Nintendo,Wii,80.0,8.0,E,32
sales_4,New Super Mario Bros.,2006-01-01,Nintendo,Nintendo,Nintendo DS,89.0,8.5,E,29
sales_5,Wii Play,2006-01-01,Nintendo,Nintendo,Wii,58.0,6.6,E,28
sales_6,New Super Mario Bros. Wii,2009-01-01,Nintendo,Nintendo,Wii,87.0,8.4,E,28
sales_7,Mario Kart DS,2005-01-01,Nintendo,Nintendo,Nintendo DS,91.0,8.6,E,23
sales_8,Wii Fit,2007-01-01,Nintendo,Nintendo,Wii,80.0,7.7,E,22
sales_9,Kinect Adventures!,2010-01-01,Good Science Studio,Microsoft Game Studios,Xbox 360,61.0,6.3,E,21
sales_10,Wii Fit Plus,2009-01-01,Nintendo,Nintendo,Wii,80.0,7.4,E,21
sales_11,Grand Theft Auto V,2013-01-01,Rockstar North,Take-Two Interactive,PlayStation 3,97.0,8.2,M,21
sales_12,Grand Theft Auto: San Andreas,2004-01-01,Rockstar North,Take-Two Interactive,PlayStation 2,95.0,9.0,M,20
sales_13,Brain Age: Train Your Brain in Minutes a Day,2005-01-01,Nintendo,Nintendo,Nintendo DS,77.0,7.9,E,20
sales_14,Grand Theft Auto V,2013-01-01,Rockstar North,Take-Two Interactive,Xbox 360,97.0,8.1,M,16
sales_15,Grand Theft Auto: Vice City,2002-01-01,Rockstar North,Take-Two Interactive,PlayStation 2,95.0,8.7,M,16
sales_16,Brain Age 2: More Training in Minutes a Day,2005-01-01,Nintendo,Nintendo,Nintendo DS,77.0,7.1,E,15
sales_17,Gran Turismo 3: A-Spec,2001-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation 2,95.0,8.4,E,14
sales_18,Call of Duty: Modern Warfare 3,2011-01-01,"Infinity Ward, Sledgehammer Games",Activision,Xbox 360,88.0,3.4,M,14
sales_19,Call of Duty: Black Ops,2010-01-01,Treyarch,Activision,Xbox 360,87.0,6.3,M,14
sales_20,Call of Duty: Black Ops II,2012-01-01,Treyarch,Activision,PlayStation 3,83.0,5.3,M,13
sales_21,Call of Duty: Black Ops II,2012-01-01,Treyarch,Activision,Xbox 360,83.0,4.8,M,13
sales_22,Call of Duty: Modern Warfare 2,2009-01-01,Infinity Ward,Activision,Xbox 360,94.0,6.3,M,13
sales_23,Call of Duty: Modern Warfare 3,2011-01-01,"Infinity Ward, Sledgehammer Games",Activision,PlayStation 3,88.0,3.2,M,13
sales_24,Grand Theft Auto III,2001-01-01,DMA Design,Take-Two Interactive,PlayStation 2,97.0,8.5,M,13
sales_25,Super Smash Bros. Brawl,2008-01-01,Game Arts,Nintendo,Wii,93.0,8.9,T,12
sales_26,Mario Kart 7,2011-01-01,"Retro Studios, Entertainment Analysis & Development Division",Nintendo,Nintendo 3DS,85.0,8.2,E,12
sales_27,Call of Duty: Black Ops,2010-01-01,Treyarch,Activision,PlayStation 3,88.0,6.4,M,12
sales_28,Grand Theft Auto V,2014-01-01,Rockstar North,Take-Two Interactive,PlayStation 4,97.0,8.3,M,12
sales_29,Animal Crossing: Wild World,2005-01-01,Nintendo,Nintendo,Nintendo DS,86.0,8.7,E,12
sales_30,Halo 3,2007-01-01,"Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,94.0,7.8,M,12
sales_31,Gran Turismo 4,2004-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation 2,89.0,8.5,E,11
sales_32,Super Mario Galaxy,2007-01-01,Nintendo,Nintendo,Wii,97.0,8.9,E,11
sales_33,Grand Theft Auto IV,2008-01-01,Rockstar North,Take-Two Interactive,Xbox 360,98.0,7.9,M,11
sales_34,Gran Turismo,1997-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation,96.0,8.7,E,10
sales_35,Super Mario 3D Land,2011-01-01,Nintendo,Nintendo,Nintendo 3DS,90.0,8.4,E,10
sales_36,Gran Turismo 5,2010-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation 3,84.0,7.5,E,10
sales_37,Call of Duty: Modern Warfare 2,2009-01-01,Infinity Ward,Activision,PlayStation 3,94.0,6.3,M,10
sales_38,Grand Theft Auto IV,2008-01-01,Rockstar North,Take-Two Interactive,PlayStation 3,98.0,7.5,M,10
sales_39,Call of Duty: Ghosts,2013-01-01,Infinity Ward,Activision,Xbox 360,73.0,2.6,M,10
sales_40,Just Dance 3,2011-01-01,Ubisoft,Ubisoft,Wii,74.0,7.8,E10+,10
sales_41,New Super Mario Bros. 2,2012-01-01,Nintendo,Nintendo,Nintendo 3DS,78.0,7.2,E,9
sales_42,Halo: Reach,2010-01-01,Bungie,Microsoft Game Studios,Xbox 360,91.0,7.9,M,9
sales_43,Final Fantasy VII,1997-01-01,SquareSoft,Sony Computer Entertainment,PlayStation,92.0,9.2,T,9
sales_44,Halo 4,2012-01-01,343 Industries,Microsoft Game Studios,Xbox 360,87.0,7.0,M,9
sales_45,Gran Turismo 2,1999-01-01,Polyphony Digital,Sony Computer Entertainment,PlayStation,93.0,9.0,T,9
sales_46,Just Dance 2,2010-01-01,Ubisoft,Ubisoft,Wii,74.0,7.3,E10+,9
sales_47,Call of Duty: Ghosts,2013-01-01,Infinity Ward,Activision,PlayStation 3,71.0,2.6,M,9
sales_48,Call of Duty 4: Modern Warfare,2007-01-01,Infinity Ward,Activision,Xbox 360,94.0,8.4,M,9
sales_49,Animal Crossing: New Leaf,2012-01-01,Nintendo,Nintendo,Nintendo 3DS,88.0,8.7,E,9
sales_50,Mario Party DS,2007-01-01,Hudson Soft,Nintendo,Nintendo DS,72.0,7.8,E,8
sales_51,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,Xbox 360,96.0,8.4,M,8
sales_52,FIFA 16,2015-01-01,EA Sports,Electronic Arts,PlayStation 4,82.0,4.3,E,8
sales_53,Halo 2,2004-01-01,Bungie Software,Microsoft Game Studios,Xbox,95.0,8.2,M,8
sales_54,Wii Party,2010-01-01,Nd Cube,Nintendo,Wii,68.0,7.4,E,8
sales_55,Mario Party 8,2007-01-01,Hudson,Nintendo,Wii,62.0,6.3,E,8
sales_56,FIFA Soccer 13,2012-01-01,Electronic Arts,Electronic Arts,PlayStation 3,88.0,6.6,E,8
sales_57,Final Fantasy X,2001-01-01,SquareSoft,Sony Computer Entertainment,PlayStation 2,92.0,8.7,T,8
sales_58,The Sims 3,2009-01-01,The Sims Studio,Electronic Arts,Windows PC,86.0,7.6,T,8
sales_59,Final Fantasy VIII,1999-01-01,SquareSoft,SquareSoft,PlayStation,90.0,8.6,T,7
sales_60,Pokémon Platinum Version,2008-01-01,Game Freak,Nintendo,Nintendo DS,83.0,8.5,E,7
