id,name,releaseYear,developer,platform,series
dbpedia_1,San Francisco Rush 2049,2006-01-01,Handheld Games,Game Boy Color,Rush (video game series)
dbpedia_2,RoboCop (1988 video game),1989-01-01,Ocean Software,Arcade Cabinet,List of RoboCop video games
dbpedia_3,Air (video game),2016-01-01,Key (company),PlayStation Vita,
dbpedia_4,Fallout 2,1998-01-01,Black Isle Studios,macOS,Fallout (series)
dbpedia_5,SpongeBob SquarePants: Creature from the Krusty Krab,2006-01-01,Blitz Games,Wii,SpongeBob SquarePants video games
dbpedia_6,Transformers: Fall of Cybertron,2016-01-01,High Moon Studios,PlayStation 4,Transformers
dbpedia_7,List of Monster Jam video games,2003-01-01,Ubi Soft Barcelona,Xbox One,Monster Jam
dbpedia_8,Onimusha: Warlords,2002-01-01,Capcom,Xbox One,Onimusha
dbpedia_9,Nicktoons: Battle for Volcano Island,2006-01-01,Halfbrick,PlayStation 2,SpongeBob SquarePants video games
dbpedia_10,Grid Autosport,2019-01-01,Feral Interactive,Xbox 360,Grid (series)
dbpedia_11,Mario Kart Arcade GP,2005-01-01,Namco,Arcade Cabinet,Mario Kart
dbpedia_12,Need for Speed: Carbon,2006-01-01,Exient Entertainment,macOS,Need for Speed
dbpedia_13,Delta Force: Black Hawk Down,2003-01-01,NovaLogic,Windows PC,Delta Force (video game)
dbpedia_14,Wizorb,2011-01-01,Tribute Games,PlayStation Portable (PSP),
dbpedia_15,Syberia II,2004-01-01,MC2-Microïds,Nintendo Switch,Syberia
dbpedia_16,Mega Man 8,1996-01-01,Capcom,PlayStation,Mega Man (original series)
dbpedia_17,List of Fire Pro Wrestling games,1994-01-01,Spike Chunsoft,,Fire Pro Wrestling
dbpedia_18,Task Force Harrier,1991-01-01,NMK (company),Sega Genesis / Mega Drive,
dbpedia_19,James Bond 007: Nightfire,2003-01-01,Eurocom,Windows PC,James Bond in video games
dbpedia_20,Krypton Egg,2009-01-01,C2V,,
dbpedia_21,Ivy the Kiwi?,2010-01-01,Prope,Wii,
dbpedia_22,Heavy Fire,2013-01-01,Teyon,Wii,
