id,name,artist,tracks,duration
lastFM_1,John B -  Fermats Theorem / Sight Beyond,John B,"['Fermats Theorem', 'Sight Beyond']",903.0
lastFM_2,Tempest / Inner Sense,Psychosis,"['Tempest', 'Inner Sense']",734.0
lastFM_4,Petalpusher -  Surrender,Petalpusher,"['Surrender (Petalpusher Original)', ""Surrender (Mig's Naked Seduction Dub)"", 'Surrender (Attaboy Remix)', ""Surrender (Mig's Naked Seduction vocal)""]",1626.0
lastFM_8,in the spirit,R. Trent,"['In The Spirit (The Full Experience)', 'In The Spirit (Kada)', 'In The Spirit (Guitar Alchemy)']",1265.0
lastFM_11,Come Of Age,S. Vitus Dance,"['Bliss', 'Tunnel Vision', 'Catch The Sun', 'Mystic Vibrations']",1378.0
lastFM_16,Devotional,D. Alvarado,"['Devotional', 'Sunstone']",944.0
lastFM_24,P. Johnson -  The Music In Me,P. Johnson,"['The Music In Me', 'Slinky', ""Y'All Stole Them Dances"", 'Life In The Jungle', 'Soft Spot']",1168.0
lastFM_27,On and,GH-106,"['XJ6', 'Fantasy']",120.0
lastFM_28,- new - Subtle Frequencies,C. Jackson,"['Check our Beats', 'Teleport']",613.0
lastFM_30,Second Area / Think Tank,Inigo Kennedy,"['Second Area', 'Think Tank']",827.0
lastFM_34,SubCode -  Purple Eggs,SubCode,"['blunt figure', 'blue sneakers']",804.0
lastFM_37,The Travellers' Dream,Aedena C.,"[""The Travellers' Dream"", 'The Dreamshadow', 'Ciguri', 'Pharagonesia']",1716.0
lastFM_40,Ascensionism,Richard Bone,"['Waters of Assiyah', 'Sister Samadhi', 'Kavvannah', ""Walkin' With the Dharma Bums"", 'Ascensionism', 'Jhana', ""Sultry Sally's Meditation Alley""]",1883.0
lastFM_42,"United DJs of America,  4",D. Morales,,
lastFM_52,Album: Tribal Liberation,Dj Duke,Tribal Journey (The Sun Mix),562.0
lastFM_53,*popular* Soundtracks for Broken Video Games,S. W.A.V.E.,"['telecommunication', 'Networking 3401', 'Thought Process', 'Contact', 'Robot']",843.0
lastFM_54,[explicit] Simple Things,Bougie Soliterre,"['Common Thread (Main Horn Mix)', 'Superficial', 'Got the Bug', 'Something (Main Vocal Mix)', 'Besides You (Main Vocal Mix)', 'Magical Moments (Audio Rogue Mix)', ""Bougez (Bougie's Main Horn Mix)"", 'Miles Away (People People Main Mix)']",3190.0
