"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] DateComparator(date) record1Value","[0] DateComparator(date) record2Value","[0] DateComparator(date) record1PreprocessedValue","[0] DateComparator(date) record2PreprocessedValue","[0] DateComparator(date) similarity","[0] DateComparator(date) postproccesedSimilarity","[1] StringComparator(actors_actor_name, jaccard) record1Value","[1] StringComparator(actors_actor_name, jaccard) record2Value","[1] StringComparator(actors_actor_name, jaccard) record1PreprocessedValue","[1] StringComparator(actors_actor_name, jaccard) record2PreprocessedValue","[1] StringComparator(actors_actor_name, jaccard) similarity","[1] StringComparator(actors_actor_name, jaccard) postproccesedSimilarity","[2] StringComparator(title, jaccard) record1Value","[2] StringComparator(title, jaccard) record2Value","[2] StringComparator(title, jaccard) record1PreprocessedValue","[2] StringComparator(title, jaccard) record2PreprocessedValue","[2] StringComparator(title, jaccard) similarity","[2] StringComparator(title, jaccard) postproccesedSimilarity"
"RuleBasedMatcher","actors_1","golden_globes_1624","0.08333333333333333","","1929-01-01","1979-01-01","1929-01-01","1979-01-01","0.0","0.0","Janet Gaynor","","janet gaynor","","0.0","0.0","7th Heaven","Days Of Heaven","7th heaven","days of heaven","0.25","0.25"
"RuleBasedMatcher","actors_1","golden_globes_292","0.0","","1929-01-01","2006-01-01","1929-01-01","2006-01-01","0.0","0.0","Janet Gaynor","['Patrick Dempsey', 'Sandra Oh']","Janet Gaynor","['Patrick Dempsey', 'Sandra Oh']","0.0","0.0","7th Heaven","Grey's Anatomy","7th heaven","grey's anatomy","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_233","0.0","","1929-01-01","2007-01-01","1929-01-01","2007-01-01","0.0","0.0","Janet Gaynor","['Ellen Pompeo', 'Patrick Dempsey', 'Katherine Heigl']","Janet Gaynor","['Ellen Pompeo', 'Patrick Dempsey', 'Katherine Heigl']","0.0","0.0","7th Heaven","Grey's Anatomy","7th heaven","grey's anatomy","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_201","0.0","","1929-01-01","2008-01-01","1929-01-01","2008-01-01","0.0","0.0","Janet Gaynor","Katherine Heigl","janet gaynor","katherine heigl","0.0","0.0","7th Heaven","Grey's Anatomy","7th heaven","grey's anatomy","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_482","0.0","","1929-01-01","2002-01-01","1929-01-01","2002-01-01","0.0","0.0","Janet Gaynor","Lauren Graham","janet gaynor","lauren graham","0.0","0.0","7th Heaven","Gilmore Girls","7th heaven","gilmore girls","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_533","0.0","","1929-01-01","2001-01-01","1929-01-01","2001-01-01","0.0","0.0","Janet Gaynor","Jessica Alba","janet gaynor","jessica alba","0.0","0.0","7th Heaven","Dark Angel","7th heaven","dark angel","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_48","0.0","","1929-01-01","2011-01-01","1929-01-01","2011-01-01","0.0","0.0","Janet Gaynor","Scott Caan","janet gaynor","scott caan","0.0","0.0","7th Heaven","Hawaii Five-O","7th heaven","hawaii five-o","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_536","0.0","","1929-01-01","2001-01-01","1929-01-01","2001-01-01","0.0","0.0","Janet Gaynor","Sarah Michelle Gellar","janet gaynor","sarah michelle gellar","0.0","0.0","7th Heaven","Buffy The Vampire Slayer","7th heaven","buffy the vampire slayer","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_903","0.0","","1929-01-01","1994-01-01","1929-01-01","1994-01-01","0.0","0.0","Janet Gaynor","Will Smith","janet gaynor","will smith","0.0","0.0","7th Heaven","Fresh Prince Of Bel-Air, The","7th heaven","fresh prince of bel-air, the","0.0","0.0"
"RuleBasedMatcher","actors_1","golden_globes_955","0.0","","1929-01-01","1993-01-01","1929-01-01","1993-01-01","0.0","0.0","Janet Gaynor","Will Smith","janet gaynor","will smith","0.0","0.0","7th Heaven","Fresh Prince Of Bel-Air, The","7th heaven","fresh prince of bel-air, the","0.0","0.0"
