Blocking Key Value,Frequency
ion,25875
tio,18228
ati,16198
gro,15453
ing,15372
oup,15200
rou,14896
ban,14074
ter,10716
ank,10400
ent,8827
anc,7467
nte,7254
cor,6975
com,6888
orp,5040
ica,4400
int,4154
ona,3724
din,3388
ner,3300
ina,3250
and,3196
ies,3190
nal,3150
str,2898
ric,2832
nat,2775
ern,2726
eri,2703
ene,2668
ste,2585
res,2565
ind,2553
hol,2552
ran,2544
ele,2480
ial,2475
tri,2405
por,2295
fin,2263
old,2261
est,2209
erg,2200
rat,2192
ons,2107
ate,2100
ine,2009
ers,1984
ora,1980
mer,1936
sco,1856
ldi,1824
nco,1764
hin,1738
cia,1736
men,1720
tor,1702
sin,1690
lin,1680
ust,1653
tel,1645
nce,1540
sta,1530
nan,1512
tec,1482
mit,1440
inc,1440
ain,1440
ame,1376
ant,1326
rpo,1320
tro,1312
rna,1305
uni,1276
ngs,1260
chi,1248
ins,1224
son,1190
ces,1190
ana,1188
per,1156
eco,1150
lec,1128
che,1125
ort,1120
ect,1118
are,1104
tal,1073
ert,1044
ell,1040
era,1000
ron,999
dia,992
ech,987
nci,976
ite,960
rie,910
edi,891
log,880
con,864
nol,861
ura,858
rin,858
rgy,851
mar,850
shi,840
tra,840
olo,836
can,832
ted,832
ein,820
pan,819
erc,805
lan,800
nic,770
man,768
pro,756
tai,754
ian,740
all,736
ver,720
ral,713
ndu,688
alt,680
dus,680
nes,676
the,663
ctr,646
chn,646
gen,630
ser,630
ast,625
cal,620
ang,615
mic,612
hea,608
min,600
eso,598
art,576
wer,576
ber,575
ale,572
ope,572
air,570
ice,555
wor,555
ton,540
ris,540
nta,528
rit,528
car,527
lli,525
hno,525
lia,513
ill,513
ita,506
ndi,506
sto,504
han,504
nti,504
one,494
ali,494
sou,486
cha,484
eal,480
owe,480
erv,464
net,462
nin,460
tin,460
tur,459
ood,459
oto,456
our,450
sur,448
har,448
mot,442
san,440
ans,440
ics,437
aco,432
lgr,432
ess,429
ari,425
als,425
oba,425
ore,420
nko,418
ont,418
egr,416
ive,416
omp,414
for,400
red,400
oni,399
sch,399
ass,391
ara,391
eme,380
ide,380
rea,378
del,378
pac,374
tat,368
rma,361
age,360
rce,360
cen,357
ity,357
nst,352
med,351
kin,342
nda,342
ard,342
kof,340
nit,340
ola,336
ico,336
eli,336
vic,336
her,336
urc,336
par,330
aba,330
den,323
cat,322
etr,312
col,312
rvi,312
nge,306
arm,306
les,299
any,290
ors,289
omm,288
ish,288
nsu,288
ise,288
ves,288
onc,286
nor,286
