case,optimization_mode,attribute,source,correct,total,accuracy
llm_val_stats,llm,name,musicbrainz,22,23,0.9565217391304348
llm_val_stats,llm,name,lastfm,9,13,0.6923076923076923
llm_val_stats,llm,name,discogs,16,17,0.9411764705882353
llm_val_stats,llm,artist,musicbrainz,22,23,0.9565217391304348
llm_val_stats,llm,artist,lastfm,8,13,0.6153846153846154
llm_val_stats,llm,artist,discogs,17,17,1.0
llm_val_stats,llm,release-date,musicbrainz,13,20,0.65
llm_val_stats,llm,release-date,discogs,9,15,0.6
llm_val_stats,llm,release-country,musicbrainz,14,21,0.6666666666666666
llm_val_stats,llm,release-country,discogs,11,16,0.6875
llm_val_stats,llm,tracks_track-name,musicbrainz,16,22,0.7272727272727273
llm_val_stats,llm,tracks_track-name,lastfm,7,11,0.6363636363636364
llm_val_stats,llm,tracks_track-name,discogs,13,17,0.7647058823529411
llm_val_stats,llm,label,discogs,11,15,0.7333333333333333
llm_val_stats,llm,genre,discogs,1,2,0.5
llm_val_stats,llm_omit,name,musicbrainz,22,23,0.9565217391304348
llm_val_stats,llm_omit,name,lastfm,9,13,0.6923076923076923
llm_val_stats,llm_omit,name,discogs,16,17,0.9411764705882353
llm_val_stats,llm_omit,artist,musicbrainz,22,23,0.9565217391304348
llm_val_stats,llm_omit,artist,lastfm,8,13,0.6153846153846154
llm_val_stats,llm_omit,artist,discogs,17,17,1.0
llm_val_stats,llm_omit,release-date,musicbrainz,5,19,0.2631578947368421
llm_val_stats,llm_omit,release-date,discogs,4,16,0.25
llm_val_stats,llm_omit,release-country,musicbrainz,5,21,0.23809523809523808
llm_val_stats,llm_omit,release-country,discogs,5,17,0.29411764705882354
llm_val_stats,llm_omit,tracks_track-name,musicbrainz,16,23,0.6956521739130435
llm_val_stats,llm_omit,tracks_track-name,lastfm,7,12,0.5833333333333334
llm_val_stats,llm_omit,tracks_track-name,discogs,12,17,0.7058823529411765
llm_val_stats,llm_omit,label,discogs,10,15,0.6666666666666666
llm_val_stats,llm_omit,genre,discogs,0,2,0.0
llm_val_stats,web,name,musicbrainz,21,23,0.9130434782608695
llm_val_stats,web,name,lastfm,9,13,0.6923076923076923
llm_val_stats,web,name,discogs,15,17,0.8823529411764706
llm_val_stats,web,artist,musicbrainz,21,23,0.9130434782608695
llm_val_stats,web,artist,lastfm,8,13,0.6153846153846154
llm_val_stats,web,artist,discogs,16,17,0.9411764705882353
llm_val_stats,web,release-date,musicbrainz,17,23,0.7391304347826086
llm_val_stats,web,release-date,discogs,12,17,0.7058823529411765
llm_val_stats,web,release-country,musicbrainz,15,23,0.6521739130434783
llm_val_stats,web,release-country,discogs,12,17,0.7058823529411765
llm_val_stats,web,tracks_track-name,musicbrainz,13,23,0.5652173913043478
llm_val_stats,web,tracks_track-name,lastfm,8,12,0.6666666666666666
llm_val_stats,web,tracks_track-name,discogs,8,17,0.47058823529411764
llm_val_stats,web,label,discogs,8,17,0.47058823529411764
llm_val_stats,web,genre,discogs,0,2,0.0
llm_val_stats,web_omit,name,musicbrainz,22,23,0.9565217391304348
llm_val_stats,web_omit,name,lastfm,9,13,0.6923076923076923
llm_val_stats,web_omit,name,discogs,16,17,0.9411764705882353
llm_val_stats,web_omit,artist,musicbrainz,21,23,0.9130434782608695
llm_val_stats,web_omit,artist,lastfm,8,13,0.6153846153846154
llm_val_stats,web_omit,artist,discogs,16,17,0.9411764705882353
llm_val_stats,web_omit,release-date,musicbrainz,13,23,0.5652173913043478
llm_val_stats,web_omit,release-date,discogs,8,17,0.47058823529411764
llm_val_stats,web_omit,release-country,musicbrainz,7,22,0.3181818181818182
llm_val_stats,web_omit,release-country,discogs,8,16,0.5
llm_val_stats,web_omit,tracks_track-name,musicbrainz,14,23,0.6086956521739131
llm_val_stats,web_omit,tracks_track-name,lastfm,8,12,0.6666666666666666
llm_val_stats,web_omit,tracks_track-name,discogs,7,17,0.4117647058823529
llm_val_stats,web_omit,label,discogs,7,17,0.4117647058823529
llm_val_stats,web_omit,genre,discogs,0,2,0.0
heuristic_stats,llm,name,musicbrainz,22,23,0.9565217391304348
heuristic_stats,llm,name,lastfm,9,13,0.6923076923076923
heuristic_stats,llm,name,discogs,16,17,0.9411764705882353
heuristic_stats,llm,artist,musicbrainz,22,23,0.9565217391304348
heuristic_stats,llm,artist,lastfm,8,13,0.6153846153846154
heuristic_stats,llm,artist,discogs,17,17,1.0
heuristic_stats,llm,release-date,musicbrainz,13,20,0.65
