Blocking Key Value,Frequency
DRAGON,220
DISNEY,197
TOM CL,192
CALL O,188
SUPER ,183
THE SI,174
STAR W,170
BATTLE,162
MADDEN,153
NEED F,152
FINAL ,150
RESIDE,149
WORLD ,141
SONIC ,131
MONSTE,131
ASSASS,126
FIFA S,125
THE LE,121
MARIO ,110
TONY H,106
TIGER ,104
DYNAST,101
MARVEL,100
NBA 2K,100
BATMAN,100
THE WA,95
MEGA M,95
METAL ,94
HARRY ,93
NARUTO,88
SPIDER,87
NBA LI,85
NASCAR,82
POKEMO,81
PRO EV,80
THE LO,78
GUITAR,77
SHADOW,76
NCAA F,73
GRAND ,73
CASTLE,67
PAC-MA,66
SAMURA,66
RAYMAN,66
CRASH ,65
WARHAM,65
TALES ,64
STREET,63
DUNGEO,62
MORTAL,61
FALLOU,60
SNIPER,58
SILENT,57
MEDAL ,57
SPACE ,56
LEGEND,55
KINGDO,55
LIFE I,55
HITMAN,54
FAR CR,54
LEGO S,53
PRINCE,52
THE EL,52
BORDER,51
F1 201,51
TRANSF,51
WWE SM,50
ULTIMA,49
MOTOGP,49
THE IN,49
LITTLE,48
MAJOR ,47
ATELIE,47
DARK S,47
DANCE ,47
VIRTUA,47
JUST D,47
TEENAG,46
TOMB R,46
PROJEC,45
PERSON,45
SKYLAN,44
AGE OF,44
PUZZLE,43
ONE PI,43
THE LA,43
STAR T,42
THE KI,41
THE DA,41
DREAMW,40
BURNOU,40
CAPCOM,40
SAINTS,39
SHIN M,38
DESTIN,38
NHL 2K,38
THE GO,38
SID ME,38
WORMS ,38
MASS E,38
BLOOD ,37
NINJA ,37
PIRATE,37
ROGUE ,37
JAMES ,36
HARVES,36
COMMAN,36
TOTAL ,35
THE WI,35
THE CH,35
LEGO B,35
WARRIO,34
DEVIL ,34
ESPN N,34
DIGIMO,34
FIGHT ,34
FIFA 1,34
NHL 20,33
PLANET,33
X-MEN:,33
DEAD R,33
FORZA ,33
WWE 2K,32
MX VS.,32
MINECR,32
THE CO,32
ARMORE,32
TEKKEN,32
SPONGE,32
DEAD O,32
DEAD S,32
TETRIS,31
HEROES,31
DARKSI,31
DEATH ,31
BLACK ,31
ALIENS,30
ROCK B,30
FOOTBA,30
BIOSHO,30
NAMCO ,30
FANTAS,29
BROTHE,29
DISGAE,29
BOMBER,29
YAKUZA,29
RED FA,29
EA SPO,29
SINGST,29
ALIEN ,29
CONFLI,29
FATAL ,29
SOULCA,28
THE SU,28
GUILTY,28
WOLFEN,28
MIDNIG,27
ACE CO,27
TOKYO ,27
EARTH ,27
GOLDEN,27
GHOST ,27
SERIOU,27
OPERAT,27
MYSIMS,27
BLAZBL,27
SHERLO,26
GAME O,26
DEUS E,26
CRYSIS,26
THE BI,26
TEST D,26
SHREK ,26
SWORD ,25
SAM & ,25
DIABLO,25
PINBAL,25
FROGGE,25
PLANTS,25
MIDWAY,24
VALKYR,24
RISE O,24
NFL BL,24
BIONIC,24
GHOSTB,24
FIRE E,24
DRIVER,24
NCAA M,24
GOD OF,24
SECRET,24
THE WO,23
X-MEN ,23
IMMORT,23
METROI,23
BEYOND,23
JUST C,23
ZOMBIE,23
IRON M,23
TOP SP,23
TERMIN,23
GEARS ,23
NBA ST,23
ROMANC,23
BROKEN,23
ARMY M,23
TROPIC,23
THE BA,23
STRONG,22
RUGBY ,22
YU-GI-,22
BALDUR,22
KARAOK,22
