cluster_size,frequency,percentage
2,2743,44.17780641004993
3,2106,33.91850539539378
4,588,9.470124013528748
5,269,4.33242067965856
6,167,2.6896440650668385
7,99,1.5944596553390238
8,77,1.2401352874859075
9,36,0.5798035110323724
10,30,0.483169592526977
11,24,0.38653567402158157
12,9,0.1449508777580931
13,8,0.12884522467386053
14,7,0.11273957158962795
15,16,0.25769044934772106
16,7,0.11273957158962795
17,1,0.016105653084232566
18,3,0.048316959252697696
19,2,0.03221130616846513
21,5,0.08052826542116283
22,3,0.048316959252697696
23,2,0.03221130616846513
24,2,0.03221130616846513
26,2,0.03221130616846513
28,1,0.016105653084232566
31,2,0.03221130616846513
