variant,model,train_total,train_positives,train_negatives,f1,precision,recall,tokens_used
faiss_small,logreg,100,34,66,0.9268292682926829,0.95,0.9047619047619048,0
faiss_small,hist_gb,100,34,66,0.9104477611940299,0.8591549295774648,0.9682539682539683,0
faiss_small,xgb,100,34,66,0.9104477611940299,0.8591549295774648,0.9682539682539683,0
faiss_small,gb,100,34,66,0.9076923076923077,0.8805970149253731,0.9365079365079365,0
faiss_small,rf,100,34,66,0.9016393442622951,0.9322033898305084,0.873015873015873,0
faiss_large,gb,600,200,400,0.923076923076923,0.8955223880597015,0.9523809523809523,0
faiss_large,hist_gb,600,200,400,0.9218749999999999,0.9076923076923077,0.9365079365079365,0
faiss_large,xgb,600,200,400,0.9218749999999999,0.9076923076923077,0.9365079365079365,0
faiss_large,rf,600,200,400,0.916030534351145,0.8823529411764706,0.9523809523809523,0
faiss_large,logreg,600,200,400,0.9152542372881356,0.9818181818181818,0.8571428571428571,0
active,hist_gb,2658,206,2452,0.9393939393939393,0.8985507246376812,0.9841269841269841,0
active,gb,2658,206,2452,0.9323308270676691,0.8857142857142857,0.9841269841269841,0
active,rf,2658,206,2452,0.9312977099236641,0.8970588235294118,0.9682539682539683,0
active,xgb,2658,206,2452,0.9312977099236641,0.8970588235294118,0.9682539682539683,0
active,logreg,2658,206,2452,0.9218749999999999,0.9076923076923077,0.9365079365079365,0
faiss_small_plus_random,logreg,118,34,84,0.9268292682926829,0.95,0.9047619047619048,0
faiss_small_plus_random,gb,118,34,84,0.9268292682926829,0.95,0.9047619047619048,0
faiss_small_plus_random,xgb,118,34,84,0.9104477611940299,0.8591549295774648,0.9682539682539683,0
faiss_small_plus_random,hist_gb,118,34,84,0.9007633587786259,0.8676470588235294,0.9365079365079365,0
faiss_small_plus_random,rf,118,34,84,0.8955223880597014,0.8450704225352113,0.9523809523809523,0
faiss_large_plus_random,hist_gb,702,200,502,0.923076923076923,0.8955223880597015,0.9523809523809523,0
faiss_large_plus_random,gb,702,200,502,0.9172932330827068,0.8714285714285714,0.9682539682539683,0
faiss_large_plus_random,xgb,702,200,502,0.9147286821705426,0.8939393939393939,0.9365079365079365,0
faiss_large_plus_random,rf,702,200,502,0.909090909090909,0.8695652173913043,0.9523809523809523,0
faiss_large_plus_random,logreg,702,200,502,0.90625,0.8923076923076924,0.9206349206349206,0
active_plus_random,hist_gb,3187,206,2981,0.9393939393939393,0.8985507246376812,0.9841269841269841,0
active_plus_random,xgb,3187,206,2981,0.9384615384615386,0.9104477611940298,0.9682539682539683,0
active_plus_random,rf,3187,206,2981,0.9312977099236641,0.8970588235294118,0.9682539682539683,0
active_plus_random,gb,3187,206,2981,0.923076923076923,0.8955223880597015,0.9523809523809523,0
active_plus_random,logreg,3187,206,2981,0.9147286821705426,0.8939393939393939,0.9365079365079365,0
provided_faiss_small,logreg,100,34,66,0.9133858267716536,0.90625,0.9206349206349206,0
provided_faiss_small,gb,100,34,66,0.9105691056910569,0.9333333333333333,0.8888888888888888,0
provided_faiss_small,xgb,100,34,66,0.9075630252100839,0.9642857142857143,0.8571428571428571,0
provided_faiss_small,hist_gb,100,34,66,0.90625,0.8923076923076924,0.9206349206349206,0
provided_faiss_small,rf,100,34,66,0.9032258064516128,0.9180327868852459,0.8888888888888888,0
provided_faiss_large,xgb,432,200,232,0.9538461538461538,0.9253731343283582,0.9841269841269841,0
provided_faiss_large,hist_gb,432,200,232,0.9523809523809523,0.9523809523809523,0.9523809523809523,0
provided_faiss_large,logreg,432,200,232,0.9302325581395349,0.9090909090909091,0.9523809523809523,0
provided_faiss_large,gb,432,200,232,0.9291338582677166,0.921875,0.9365079365079365,0
provided_faiss_large,rf,432,200,232,0.9268292682926829,0.95,0.9047619047619048,0
provided_active,hist_gb,438,206,232,0.9523809523809523,0.9523809523809523,0.9523809523809523,0
provided_active,gb,438,206,232,0.9375,0.9230769230769231,0.9523809523809523,0
provided_active,xgb,438,206,232,0.9365079365079365,0.9365079365079365,0.9365079365079365,0
provided_active,logreg,438,206,232,0.9218749999999999,0.9076923076923077,0.9365079365079365,0
provided_active,rf,438,206,232,0.9180327868852458,0.9491525423728814,0.8888888888888888,0
provided_faiss_small_plus_random,gb,118,34,84,0.9242424242424243,0.8840579710144928,0.9682539682539683,0
provided_faiss_small_plus_random,logreg,118,34,84,0.90625,0.8923076923076924,0.9206349206349206,0
provided_faiss_small_plus_random,xgb,118,34,84,0.9,0.9473684210526315,0.8571428571428571,0
provided_faiss_small_plus_random,rf,118,34,84,0.894308943089431,0.9166666666666666,0.873015873015873,0
provided_faiss_small_plus_random,hist_gb,118,34,84,0.8854961832061068,0.8529411764705882,0.9206349206349206,0
provided_faiss_large_plus_random,xgb,432,200,232,0.9538461538461538,0.9253731343283582,0.9841269841269841,0
provided_faiss_large_plus_random,hist_gb,432,200,232,0.9523809523809523,0.9523809523809523,0.9523809523809523,0
provided_faiss_large_plus_random,logreg,432,200,232,0.9302325581395349,0.9090909090909091,0.9523809523809523,0
provided_faiss_large_plus_random,gb,432,200,232,0.9291338582677166,0.921875,0.9365079365079365,0
provided_faiss_large_plus_random,rf,432,200,232,0.9268292682926829,0.95,0.9047619047619048,0
provided_active_plus_random,hist_gb,438,206,232,0.9523809523809523,0.9523809523809523,0.9523809523809523,0
provided_active_plus_random,gb,438,206,232,0.9375,0.9230769230769231,0.9523809523809523,0
provided_active_plus_random,xgb,438,206,232,0.9365079365079365,0.9365079365079365,0.9365079365079365,0
provided_active_plus_random,logreg,438,206,232,0.9218749999999999,0.9076923076923077,0.9365079365079365,0
provided_active_plus_random,rf,438,206,232,0.9180327868852458,0.9491525423728814,0.8888888888888888,0
