forbes_url,company,url,region,business_segment,asset_value,sales_figure
http://www.forbes.com/companies/icbc/,ICBC,http://www.forbes.com/companies/icbc/,China,Major Banks,3124900000000,148700000000
http://www.forbes.com/companies/china-construction-bank/,China Construction Bank,http://www.forbes.com/companies/china-construction-bank/,China,Regional Banks,2449500000000,121300000000
http://www.forbes.com/companies/agricultural-bank-of-china/,Agricultural Bank of China,http://www.forbes.com/companies/agricultural-bank-of-china/,China,Regional Banks,2405400000000,136400000000
http://www.forbes.com/companies/jpmorgan-chase/,JPMorgan Chase,http://www.forbes.com/companies/jpmorgan-chase/,United States of America,Major Banks,2435300000000,105700000000
http://www.forbes.com/companies/berkshire-hathaway/,Berkshire Hathaway,http://www.forbes.com/companies/berkshire-hathaway/,United States of America,Investment Services,493400000000,178800000000
http://www.forbes.com/companies/exxon-mobil/,Exxon Mobil,http://www.forbes.com/companies/exxon-mobil/,United States of America,Oil & Gas Operations,346800000000,394000000000
http://www.forbes.com/companies/general-electric/,General Electric,http://www.forbes.com/companies/general-electric/,United States of America,Conglomerates,656600000000,143300000000
http://www.forbes.com/companies/wells-fargo/,Wells Fargo,http://www.forbes.com/companies/wells-fargo/,United States of America,Major Banks,1543000000000,88700000000
http://www.forbes.com/companies/bank-of-china/,Bank of China,http://www.forbes.com/companies/bank-of-china/,China,Major Banks,2291800000000,105100000000
http://www.forbes.com/companies/petrochina/,PetroChina,http://www.forbes.com/companies/petrochina/,China,Oil & Gas Operations,386900000000,328500000000
http://www.forbes.com/companies/royal-dutch-shell/,Royal Dutch Shell,http://www.forbes.com/companies/royal-dutch-shell/,Netherlands,Oil & Gas Operations,357500000000,451400000000
http://www.forbes.com/companies/toyota-motor/,Toyota Motor,http://www.forbes.com/companies/toyota-motor/,Japan,Auto & Truck Manufacturers,385500000000,255600000000
http://www.forbes.com/companies/bank-of-america/,Bank of America,http://www.forbes.com/companies/bank-of-america/,United States of America,Major Banks,2113800000000,101500000000
http://www.forbes.com/companies/hsbc-holdings/,HSBC Holdings,http://www.forbes.com/companies/hsbc-holdings/,United Kingdom of Great Britain and Northern Ireland,Major Banks,2671300000000,79600000000
http://www.forbes.com/companies/apple/,Apple,http://www.forbes.com/companies/apple/,United States of America,Computer Hardware,225200000000,173800000000
http://www.forbes.com/companies/citigroup/,Citigroup,http://www.forbes.com/companies/citigroup/,United States of America,Major Banks,1883400000000,94100000000
