variant,model,train_total,train_positives,train_negatives,val_f1,val_precision,val_recall,tokens_used,test_f1,test_precision,test_recall,f1,precision,recall
faiss_small,rf,100,34,66,0.9949748743718593,1.0,0.99,0,0.8327044025157233,0.7164502164502164,0.993993993993994,0.9949748743718593,1.0,0.99
faiss_small,logreg,100,34,66,0.9795918367346939,1.0,0.96,0,,,,0.9795918367346939,1.0,0.96
faiss_small,gb,100,34,66,0.966183574879227,0.9345794392523364,1.0,0,,,,0.966183574879227,0.9345794392523364,1.0
faiss_small,hist_gb,100,34,66,0.9142857142857144,0.8727272727272727,0.96,0,,,,0.9142857142857144,0.8727272727272727,0.96
faiss_small,xgb,100,34,66,0.912621359223301,0.8867924528301887,0.94,0,,,,0.912621359223301,0.8867924528301887,0.94
faiss_large,rf,600,200,400,0.99,0.99,0.99,0,0.983358547655068,0.9908536585365854,0.975975975975976,0.99,0.99,0.99
faiss_large,gb,600,200,400,0.99,0.99,0.99,0,,,,0.99,0.99,0.99
faiss_large,xgb,600,200,400,0.99,0.99,0.99,0,,,,0.99,0.99,0.99
faiss_large,logreg,600,200,400,0.9850746268656716,0.9801980198019802,0.99,0,,,,0.9850746268656716,0.9801980198019802,0.99
faiss_large,hist_gb,600,200,400,0.9849246231155778,0.98989898989899,0.98,0,,,,0.9849246231155778,0.98989898989899,0.98
active,logreg,1550,1115,435,0.98989898989899,1.0,0.98,0,0.9864661654135338,0.9879518072289156,0.984984984984985,0.98989898989899,1.0,0.98
active,rf,1550,1115,435,0.9850746268656716,0.9801980198019802,0.99,0,,,,0.9850746268656716,0.9801980198019802,0.99
active,gb,1550,1115,435,0.9753694581280788,0.9611650485436893,0.99,0,,,,0.9753694581280788,0.9611650485436893,0.99
active,xgb,1550,1115,435,0.9753694581280788,0.9611650485436893,0.99,0,,,,0.9753694581280788,0.9611650485436893,0.99
active,hist_gb,1550,1115,435,0.9748743718592964,0.9797979797979798,0.97,0,,,,0.9748743718592964,0.9797979797979798,0.97
faiss_small_plus_random,rf,120,34,86,0.9950248756218906,0.9900990099009901,1.0,0,0.8327044025157233,0.7164502164502164,0.993993993993994,0.9950248756218906,0.9900990099009901,1.0
faiss_small_plus_random,logreg,120,34,86,0.9847715736040609,1.0,0.97,0,,,,0.9847715736040609,1.0,0.97
faiss_small_plus_random,gb,120,34,86,0.966183574879227,0.9345794392523364,1.0,0,,,,0.966183574879227,0.9345794392523364,1.0
