cluster_size,frequency,percentage
2,2111,49.8229879631815
3,1573,37.1253245220675
4,283,6.679254189284871
5,106,2.501770120368185
6,65,1.5341043190936983
7,28,0.660844937455747
8,18,0.4248288883644088
9,14,0.3304224687278735
10,9,0.2124144441822044
11,4,0.09440641963653527
12,7,0.16521123436393675
13,4,0.09440641963653527
14,4,0.09440641963653527
15,1,0.02360160490913382
16,2,0.04720320981826764
17,2,0.04720320981826764
18,2,0.04720320981826764
19,1,0.02360160490913382
34,1,0.02360160490913382
35,1,0.02360160490913382
55,1,0.02360160490913382
