Genre Code,Genre Name,Subgenre Code,Subgenre Name,Sub-Subgenre Code,Sub-Subgenre Name
10,Rock,1010,Classic Rock,101010,Classic Rock
10,Rock,1010,Classic Rock,101020,Arena Rock
10,Rock,1010,Classic Rock,101030,Southern Rock
10,Rock,1010,Classic Rock,101040,Heartland Rock
10,Rock,1020,Hard Rock,102010,Hard Rock
10,Rock,1020,Hard Rock,102020,Blues Rock
10,Rock,1020,Hard Rock,102030,Glam Rock
10,Rock,1030,Metal,103010,Heavy Metal
10,Rock,1030,Metal,103020,Thrash Metal
10,Rock,1030,Metal,103030,Death Metal
10,Rock,1030,Metal,103040,Black Metal
10,Rock,1030,Metal,103050,Power Metal
10,Rock,1030,Metal,103060,Doom Metal
10,Rock,1030,Metal,103070,Progressive Metal
10,Rock,1030,Metal,103080,Nu Metal
10,Rock,1030,Metal,103090,Metalcore
10,Rock,1030,Metal,103100,Deathcore
10,Rock,1030,Metal,103110,Symphonic Metal
10,Rock,1030,Metal,103120,Folk Metal
10,Rock,1030,Metal,103130,Industrial Metal
10,Rock,1030,Metal,103140,Groove Metal
10,Rock,1040,Punk,104010,Punk Rock
10,Rock,1040,Punk,104020,Hardcore Punk
10,Rock,1040,Punk,104030,Post-Punk
10,Rock,1040,Punk,104040,Pop Punk
10,Rock,1040,Punk,104050,Ska Punk
10,Rock,1040,Punk,104060,Emo
10,Rock,1040,Punk,104070,Screamo
10,Rock,1040,Punk,104080,Post-Hardcore
10,Rock,1050,Alternative Rock,105010,Alternative Rock
10,Rock,1050,Alternative Rock,105020,Grunge
10,Rock,1050,Alternative Rock,105030,Britpop
10,Rock,1050,Alternative Rock,105040,Shoegaze
10,Rock,1050,Alternative Rock,105050,Dream Pop
10,Rock,1050,Alternative Rock,105060,Noise Rock
10,Rock,1050,Alternative Rock,105070,Art Rock
10,Rock,1060,Indie Rock,106010,Indie Rock
10,Rock,1060,Indie Rock,106020,Indie Pop
10,Rock,1060,Indie Rock,106030,Lo-Fi
10,Rock,1060,Indie Rock,106040,Chamber Pop
10,Rock,1060,Indie Rock,106050,Bedroom Pop
10,Rock,1070,Progressive Rock,107010,Progressive Rock
10,Rock,1070,Progressive Rock,107020,Psychedelic Rock
10,Rock,1070,Progressive Rock,107030,Space Rock
10,Rock,1070,Progressive Rock,107040,Krautrock
10,Rock,1070,Progressive Rock,107050,Post-Rock
10,Rock,1070,Progressive Rock,107060,Math Rock
10,Rock,1080,Soft Rock,108010,Soft Rock
10,Rock,1080,Soft Rock,108020,Adult Contemporary Rock
10,Rock,1080,Soft Rock,108030,Yacht Rock
10,Rock,1090,Garage Rock,109010,Garage Rock
10,Rock,1090,Garage Rock,109020,Garage Rock Revival
10,Rock,1090,Garage Rock,109030,Surf Rock
20,Pop,2010,Pop,201010,Pop
20,Pop,2010,Pop,201020,Dance Pop
20,Pop,2010,Pop,201030,Synth Pop
20,Pop,2010,Pop,201040,Electropop
20,Pop,2010,Pop,201050,Art Pop
20,Pop,2010,Pop,201060,Baroque Pop
20,Pop,2020,Teen Pop,202010,Teen Pop
