Blocking Key Value,Frequency
THE MA,38
THE CO,31
THE GR,30
THE LA,28
THE ST,28
THE PR,27
THE BA,21
THE LI,21
THE CH,19
THE LO,18
THE GO,18
THE RE,17
THE FI,17
THE HO,17
LITTLE,16
THE CA,16
THE SE,16
THE BI,15
THE DE,15
THE DA,15
THE PI,15
THE WI,14
THE TH,13
THE FA,13
THE BO,13
IN THE,13
HARRY ,13
THE BR,12
CHILDR,12
THE PA,12
NAN,12
THE RO,12
THE SH,11
THE BE,11
THE MI,11
THE BL,11
CAPTAI,11
THE GA,11
THE MO,11
THE ME,11
THE CR,11
THE SI,11
THREE ,11
THE IN,10
THE TR,10
THE FO,10
AMERIC,10
GEORGE,10
BLACK ,10
THE DI,9
THE VI,9
THE HU,9
THE WA,9
THE PO,9
THE KI,9
ALL TH,8
ARTHUR,8
JOURNE,8
ON THE,8
WHITE ,8
THE NA,8
THE WO,8
YOUNG ,8
THE TI,8
THE EN,8
THE HA,8
THE SO,8
THE DO,7
THE AD,7
THE MU,7
THE LE,7
MUSIC ,7
THE FL,7
THE SP,7
THE TE,7
THE FR,7
DAVID ,6
HEAVEN,6
THE YO,6
JOHNNY,6
BREAKI,6
THE WE,6
THE PE,6
ROBERT,6
THE RA,6
OPERAT,6
DAYS O,6
THE RI,6
THE SA,6
FIRST ,6
BEYOND,6
TO THE,6
CHRIST,6
MIGHTY,6
MONSTE,6
MADAME,6
A PLAC,6
UNDER ,5
A MAN ,5
THE PU,5
THE QU,5
LETTER,5
THE CL,5
DANGER,5
THE AC,5
THE HE,5
THE AF,5
ALICE ,5
WILLIA,5
GRAND ,5
THE UN,5
STAR T,5
THE TA,5
HOW TO,5
FRANK ,5
MISTER,5
THE EM,5
SWEET ,5
THE NE,5
THE NI,5
HOLIDA,5
IT HAP,5
BLOOD ,5
BILLY ,5
SEVEN ,5
THE TO,5
GOING ,5
SUMMER,5
THE WH,5
THE JO,5
WOMEN ,5
DEATH ,5
THE EL,4
HAMLET,4
INSIDE,4
NIGHT ,4
WITNES,4
STAR W,4
BEFORE,4
THE AP,4
BOBBY ,4
ROMANC,4
DOUBLE,4
ROBIN ,4
ROAD T,4
HERE C,4
ANNIE ,4
AN AME,4
THE AM,4
HENRY ,4
STREET,4
IT'S A,4
I WANT,4
STRANG,4
IN OLD,4
RETURN,4
WOMAN ,4
PRIVAT,4
THE SU,4
MY COU,4
THE HI,4
PIRATE,4
DR. JE,4
GOODBY,4
FORBID,4
MILLIO,4
A TIME,4
FUNNY ,4
THE OT,4
WHAT'S,4
CHARLE,4
CITY O,4
THE OL,4
SILVER,4
CINDER,4
MOTHER,4
THE SN,4
MURDER,4
BATMAN,4
THE FU,4
PRINCE,4
MAN OF,4
SCREEN,4
THE VA,4
A LITT,4
SONG O,4
SECOND,4
ELIZAB,3
TOY ST,3
GENERA,3
DRAGON,3
BEAUTY,3
BENJAM,3
SIDNEY,3
SUPERM,3
SUNDAY,3
FATHER,3
FLYING,3
BATTLE,3
TOPPER,3
BEING ,3
BABES ,3
SOMETH,3
EDUCAT,3
SOPHIE,3
TRUE G,3
FOUR D,3
TROUBL,3
STAND ,3
SO YOU,3
ERNST ,3
THE AN,3
SWING ,3
YOU CA,3
MANHAT,3
BUTTER,3
COMING,3
COME B,3
THE GI,3
THE SW,3
THE GU,3
YANKEE,3
THE SC,3
THE RU,3
MICKEY,3
DON'T ,3
MIDNIG,3
CLOSE ,3
THE PH,3
THE JA,3
MIRACL,3
THE KA,3
MOUSE ,3
THE LU,3
THE NU,3
MOSCOW,3
MYSTER,3
BUSBY ,3
THE YE,3
CONQUE,3
DOCTOR,3
DESTIN,3
DESERT,3
BLUE S,3
TENDER,3
TO BE ,3
DAVE G,3
DARRYL,3
DARLIN,3
THE AB,3
THUNDE,3
GERALD,3
THE AS,3
CYRANO,3
NORTH ,3
WINGS ,3
THE BU,3
WINTER,3
BROKEN,3
NEVER ,3
THE DU,3
LET'S ,3
LADY O,3
ONE FL,3
PARAMO,3
HOUSE ,3
AS GOO,3
SCENT ,3
ANGELS,3
KISS O,3
HIGH S,3
PRIDE ,3
WALTER,3
HOWARD,3
A STAR,3
HOLLYW,3
HIGH N,3
VICTOR,3
GREEN ,3
UP IN ,3
JERRY ,3
WHEN L,3
ADVENT,3
HERMES,3
ANASTA,3
PORTRA,3
SHADOW,3
HEARTB,3
I NEVE,3
GOLDEN,3
WHEN W,3
AFTER ,3
WHEN T,3
JESUS ,3
SECRET,3
IT STA,2
IT'S G,2
IT'S T,2
MAIN S,2
PRETTY,2
MAKING,2
PRISON,2
JACK L,2
JACQUE,2
MALCOL,2
MYSTIC,2
CONTAC,2
PRELUD,2
PRECIO,2
JEZEBE,2
MANNEQ,2
ISLAND,2
THE DR,2
NETWOR,2
THE CI,2
INCEND,2
INDIAN,2
RAGING,2
NUMBER,2
LILIES,2
NOTES ,2
RADIO ,2
NORMAN,2
RACHEL,2
RABBIT,2
NORMA ,2
LORENZ,2
CRIMES,2
INTERV,2
CRAZY ,2
COQUET,2
INTO T,2
NO TIM,2
LOUISI,2
LOVE M,2
LOVE S,2
INVEST,2
COWBOY,2
QUEST ,2
QUEEN ,2
THE GH,2
COUNTR,2
THE EG,2
IRON M,2
PROMIS,2
JIMMY ,2
SHINE,2
JOAN O,2
CLEOPA,2
PEOPLE,2
PENNY ,2
PENNIE,2
KILLIN,2
MILDRE,2
KING K,2
KING V,2
KING O,2
KINGS ,2
MIN AN,2
PATTON,2
THE JU,2
KITTY ,2
PASSPO,2
MISERY,2
THE GL,2
KLUTE,2
KNIGHT,2
MOULIN,2
PARIS ,2
MONA L,2
PARADI,2
KRAKAT,2
KRAMER,2
MONSIE,2
CIMARR,2
OUT OF,2
LA VIE,2
MORNIN,2
MOONST,2
PETER ,2
MICHAE,2
THE IM,2
PHANTO,2
MY SON,2
MY NIG,2
RAIN M,2
MARIE ,2
POPULA,2
POLTER,2
MY LEF,2
JOHN S,2
MARRIA,2
MARTY,2
MY FAV,2
MARY P,2
LAWREN,2
JOLLY ,2
MY FAI,2
LAND O,2
JUDGME,2
PLANET,2
MUTINY,2
PLACES,2
MEET M,2
COAL M,2
PIGS I,2
PIECES,2
MEN IN,2
MRS. M,2
PHILAD,2
METRO-,2
THE IL,2
MARDI ,2
ONE DA,2
THE AL,2
SOUND ,2
FIGHT ,2
SCROOG,2
GREGOR,2
SOUTH ,2
FIDDLE,2
SPEAKI,2
FELLIN,2
SPECIA,2
GUESS ,2
GUEST ,2
SCHOOL,2
SPELLB,2
SPIDER,2
FARGO,2
FAREWE,2
FAR FR,2
ONE-EY,2
FANTAS,2
SPIRIT,2
STAGE ,2
STAGEC,2
EYES O,2
STALAG,2
SAVE T,2
HAPPY ,2
LEGEND,2
SAMUEL,2
EVERY ,2
SAMMY ,2
