Blocking Key Value,Frequency
th,81144
he,80793
er,40644
in,34188
an,25350
es,20375
on,17280
ar,13832
en,12046
of,11210
st,10736
re,10155
ea,9804
or,9712
nt,8823
ng,8560
nd,8484
to,8160
le,7476
te,7440
el,7040
li,6840
at,6748
et,6525
me,6165
ra,6149
ve,6060
ma,5868
la,5726
al,5551
de,5474
ri,5401
ne,4836
ll,4824
ou,4708
da,4199
ro,4032
as,3630
so,3410
is,3375
ch,3110
oo,3038
il,3033
co,3000
ni,2990
se,2864
am,2808
om,2799
ho,2772
lo,2736
ha,2680
it,2604
ad,2547
hi,2520
ed,2485
ee,2432
mi,2431
ry,2330
go,2328
tr,2320
rs,2310
be,2232
ge,2200
wa,2160
ir,2079
ce,2072
tt,2034
ol,2016
ic,1974
ta,1956
ie,1918
rt,1896
si,1883
od,1804
ac,1750
ti,1735
ca,1722
ur,1674
di,1645
do,1617
no,1617
ns,1614
gh,1584
mo,1575
ec,1548
ss,1547
wo,1530
ai,1484
fo,1477
ld,1456
fa,1424
iv,1395
ig,1368
ef,1309
ew,1278
ay,1266
na,1265
ep,1206
ht,1148
us,1145
un,1120
rl,1099
ia,1043
eb,1025
eo,995
os,972
eg,960
ft,945
sa,843
ck,834
io,824
ba,815
em,807
sh,804
pi,798
ow,796
fr,795
ki,762
bo,756
vi,755
ei,740
fe,726
id,712
ov,690
ut,660
rm,620
nc,615
gi,615
ty,615
ke,612
ga,608
nn,580
eh,576
pa,555
rg,553
ag,552
dr,536
sc,532
yo,531
rn,520
ue,505
sp,500
rd,465
ul,444
ys,444
br,444
bl,411
if,408
pe,404
wi,400
au,395
ts,378
my,368
ab,348
op,342
rc,328
fi,324
ye,312
av,312
fl,308
ap,280
gr,274
rk,272
pr,272
bu,270
ev,264
po,260
ny,256
oy,255
cl,255
tl,248
oc,243
ek,240
bi,222
tw,216
ci,214
wh,210
af,204
ot,203
tc,201
ru,200
cr,196
uc,186
lu,180
ya,180
ls,180
mb,178
ph,177
gl,171
sm,168
yl,165
aw,162
by,162
dy,160
nb,156
ud,150
fu,144
sd,144
rr,143
mp,142
ey,139
rf,134
qu,134
ds,128
hu,126
mr,126
dt,125
im,122
sn,120
fm,120
db,120
sb,118
ly,118
su,117
ko,117
we,115
dm,114
eu,112
wn,110
ug,110
tu,109
oi,106
nf,104
pp,102
gu,98
nw,92
pt,92
um,92
ct,91
nh,90
je,90
oe,90
dg,90
ob,89
dd,89
pl,87
lm,86
sk,86
va,85
jo,85
rh,84
gs,82
lf,82
yf,80
ip,80
nl,78
cu,78
oa,77
gm,75
nk,73
lt,72
ky,72
ak,69
hr,68
sw,64
ze,62
nu,61
yg,60
rb,59
sl,58
nm,58
gt,57
ff,57
tg,57
ui,56
dl,55
ju,54
hn,54
ms,50
oh,50
sg,50
ym,50
vo,49
kl,48
yb,47
tf,46
lp,44
ok,44
np,43
nr,43
rw,40
ub,39
yw,37
rv,37
gb,36
ae,36
ps,34
yp,33
yd,31
dp,31
sr,31
tb,31
sy,29
lk,28
gg,27
df,27
tn,26
yr,26
iz,25
fb,23
ii,22
fh,22
hh,22
cy,21
gf,20
fc,20
zo,20
hy,20
cc,20
kr,18
tz,16
bs,16
iw,16
gd,15
nq,15
hc,12
ml,10
kw,10
rj,10
ez,10
sv,9
sj,9
yv,9
g1,8
fv,7
oq,6
vs,4
7t,3
17,2
d8,1
