Blocking Key Value,Frequency
mo,24
ma,24
ca,21
da,18
co,11
ch,11
ha,11
be,10
sh,10
pa,10
su,10
thpi,8
thprof,8
ra,7
thstof,7
ga,6
thcoof,6
thch,6
am,6
thsiof,6
hu,5
fa,5
thin,4
thho,4
gl,4
an,4
mi,3
thac,3
ne,3
ph,3
kiofth,3
di,3
roho,3
thgo,3
drjean,3
thprli,3
trgr,2
thwaof,2
mapo,2
asgoas,2
blsk,2
scofa,2
cydebe,2
gh,2
anha,2
onflov,2
gomrch,2
waonth,2
hino,2
thbron,2
ithaon,2
boto,2
midoba,1
myri,1
trda,1
moba,1
erbr,1
ambe,1
bodocr,1
liisbe,1
shinlo,1
lelave,1
demawa,1
fogu,1
hoen,1
reoffo,1
mylefo,1
drmida,1
rama,1
wast,1
chofa,1
plinth,1
teme,1
teofen,1
soch,1
ongopo,1
rabu,1
comida,1
krvskr,1
nora,1
coho,1
thgogi,1
haanto,1
aldoli,1
sathti,1
atoof,1
thfrco,1
kl,1
woinlo,1
thliin,1
fugi,1
inthhe,1
guwhco,1
whafof,1
amafo,1
caba,1
myfala,1
liofth,1
tokia,1
thmiwo,1
juatnu,1
twwo,1
elga,1
bu8,1
roatth,1
seta,1
iwato,1
ththfa,1
thkian,1
throta,1
onthwa,1
thcogi,1
st17,1
cobali,1
thafqu,1
astna,1
boye,1
althki,1
thhe,1
jobe,1
adoli,1
thfada,1
thbeye,1
toeahi,1
thlowe,1
mipi,1
gomywa,1
yadoda,1
mrmi,1
seyo,1
thphst,1
kifo,1
gowith,1
je,1
caco,1
thgoea,1
mogl,1
afrso,1
mianbi,1
thdi,1
inolar,1
7the,1
