variant,model,train_total,train_positives,train_negatives,f1,precision,recall,tokens_used
faiss_small,logreg,100,34,66,0.9043478260869565,0.8783783783783784,0.931899641577061,0
faiss_small,rf,100,34,66,0.8983200707338639,0.8865619546247818,0.910394265232975,0
faiss_small,gb,100,34,66,0.4855703160787907,0.3261538461538461,0.9498207885304659,0
faiss_small,xgb,100,34,66,0.4567849686847599,0.29776810016330973,0.9802867383512545,0
faiss_small,hist_gb,100,34,66,0.4557172557172558,0.2966973470492691,0.982078853046595,0
faiss_large,xgb,600,200,400,0.9436253252385083,0.9142857142857143,0.974910394265233,0
faiss_large,gb,600,200,400,0.9403747870528109,0.8961038961038961,0.989247311827957,0
faiss_large,hist_gb,600,200,400,0.937062937062937,0.9146757679180887,0.9605734767025089,0
faiss_large,rf,600,200,400,0.9329896907216496,0.8960396039603961,0.9731182795698925,0
faiss_large,logreg,600,200,400,0.9266136162687888,0.9144851657940664,0.9390681003584229,0
active,logreg,1550,1115,435,0.9526315789473684,0.9329896907216495,0.9731182795698925,0
active,gb,1550,1115,435,0.9478337754199823,0.9354275741710296,0.9605734767025089,0
active,rf,1550,1115,435,0.9467140319715809,0.9383802816901409,0.9551971326164874,0
active,xgb,1550,1115,435,0.9456812110418521,0.9398230088495575,0.9516129032258065,0
active,hist_gb,1550,1115,435,0.9448275862068966,0.9102990033222591,0.982078853046595,0
faiss_small_plus_random,logreg,120,34,86,0.8963730569948186,0.865,0.9301075268817204,0
faiss_small_plus_random,rf,120,34,86,0.8929824561403509,0.8745704467353952,0.9121863799283154,0
faiss_small_plus_random,gb,120,34,86,0.4855703160787907,0.3261538461538461,0.9498207885304659,0
faiss_small_plus_random,xgb,120,34,86,0.4567849686847599,0.29776810016330973,0.9802867383512545,0
faiss_small_plus_random,hist_gb,120,34,86,0.4557172557172558,0.2966973470492691,0.982078853046595,0
faiss_large_plus_random,gb,720,200,520,0.94229112833764,0.9071310116086235,0.9802867383512545,0
faiss_large_plus_random,xgb,720,200,520,0.939655172413793,0.9053156146179402,0.9767025089605734,0
faiss_large_plus_random,rf,720,200,520,0.936905790838375,0.9048414023372288,0.9713261648745519,0
faiss_large_plus_random,hist_gb,720,200,520,0.9344978165938865,0.9114139693356048,0.9587813620071685,0
faiss_large_plus_random,logreg,720,200,520,0.9325044404973357,0.9242957746478874,0.9408602150537635,0
active_plus_random,rf,1160,581,579,0.948917748917749,0.9179229480737019,0.982078853046595,0
active_plus_random,logreg,1160,581,579,0.9484716157205241,0.9250425894378195,0.9731182795698925,0
active_plus_random,hist_gb,1160,581,579,0.9469964664310953,0.9337979094076655,0.9605734767025089,0
active_plus_random,gb,1160,581,579,0.9415807560137457,0.9042904290429042,0.982078853046595,0
active_plus_random,xgb,1160,581,579,0.9390243902439025,0.9135593220338983,0.9659498207885304,0
provided_faiss_small,rf,100,34,66,0.938337801608579,0.9358288770053476,0.9408602150537635,0
provided_faiss_small,gb,100,34,66,0.9347258485639687,0.9086294416243654,0.9623655913978495,0
provided_faiss_small,xgb,100,34,66,0.9343832020997376,0.9128205128205128,0.956989247311828,0
provided_faiss_small,hist_gb,100,34,66,0.9335664335664335,0.9112627986348123,0.956989247311828,0
provided_faiss_small,logreg,100,34,66,0.9322916666666667,0.9040404040404041,0.9623655913978495,0
provided_faiss_large,hist_gb,600,200,400,0.9511343804537521,0.9268707482993197,0.9767025089605734,0
provided_faiss_large,xgb,600,200,400,0.9458987783595113,0.9217687074829932,0.9713261648745519,0
provided_faiss_large,rf,600,200,400,0.9458297506448838,0.9090909090909091,0.985663082437276,0
provided_faiss_large,gb,600,200,400,0.9334516415261757,0.9244288224956063,0.942652329749104,0
provided_faiss_large,logreg,600,200,400,0.9301121656600518,0.8968386023294509,0.9659498207885304,0
provided_active,hist_gb,1550,1115,435,0.9497400346620452,0.9194630872483222,0.982078853046595,0
provided_active,rf,1550,1115,435,0.9476439790575916,0.923469387755102,0.9731182795698925,0
provided_active,xgb,1550,1115,435,0.9473684210526315,0.913477537437604,0.9838709677419355,0
provided_active,gb,1550,1115,435,0.9467248908296942,0.9233390119250426,0.9713261648745519,0
provided_active,logreg,1550,1115,435,0.9419014084507041,0.9256055363321799,0.9587813620071685,0
provided_faiss_small_plus_random,logreg,120,34,86,0.9442508710801394,0.9186440677966101,0.9713261648745519,0
