wiki_ref,title,launch_yr,studio,system,franchise
dbpedia_1,San Francisco Rush 2049,2006-01-01,Handheld Games,Game Boy Color,Rush (video game series)
dbpedia_2,RoboCop (1988 video game),1989-01-01,Ocean Software,Arcade video game,List of RoboCop video games
dbpedia_3,Air (video game),2016-01-01,Key (company),PlayStation Vita,
dbpedia_4,Fallout 2,1998-01-01,Black Isle Studios,Mac OS X,Fallout (series)
dbpedia_5,SpongeBob SquarePants: Creature from the Krusty Krab,2006-01-01,Blitz Games,Wii,SpongeBob SquarePants video games
dbpedia_6,Transformers: Fall of Cybertron,2016-01-01,High Moon Studios,PS4,Transformers
dbpedia_7,List of Monster Jam video games,2003-01-01,Ubi Soft Barcelona,Xbox One,Monster Jam
dbpedia_8,Onimusha: Warlords,2002-01-01,Capcom,Xbox One,Onimusha
dbpedia_9,Nicktoons: Battle for Volcano Island,2006-01-01,Halfbrick,PS2,SpongeBob SquarePants video games
dbpedia_10,Grid Autosport,2019-01-01,Feral Interactive,Xbox 360,Grid (series)
dbpedia_11,Mario Kart Arcade GP,2005-01-01,Namco,Arcade game,Mario Kart
dbpedia_12,Need for Speed: Carbon,2006-01-01,Exient Entertainment,Mac OS X,Need for Speed
dbpedia_13,Delta Force: Black Hawk Down,2003-01-01,NovaLogic,Microsoft Windows,Delta Force (video game)
dbpedia_14,Wizorb,2011-01-01,Tribute Games,PlayStation Portable,
dbpedia_15,Syberia II,2004-01-01,MC2-Microïds,Switch,Syberia
dbpedia_16,Mega Man 8,1996-01-01,Capcom,Playstation,Mega Man (original series)
dbpedia_17,List of Fire Pro Wrestling games,1994-01-01,Spike Chunsoft,PlayStation Network,Fire Pro Wrestling
dbpedia_18,Task Force Harrier,1991-01-01,NMK (company),Mega Drive/Genesis,
dbpedia_19,James Bond 007: Nightfire,2003-01-01,Eurocom,Microsoft Windows,James Bond in video games
dbpedia_20,Krypton Egg,2009-01-01,C2V,Palm OS,
dbpedia_21,Ivy the Kiwi?,2010-01-01,Prope,Wii,
dbpedia_22,Heavy Fire,2013-01-01,Teyon,Wii,
dbpedia_23,Hamtaro (video game series),2005-01-01,ImaginEngine,Game Boy Advance,
dbpedia_24,Ultimate Marvel vs. Capcom 3,2011-01-01,Eighting,Microsoft Windows,Marvel vs. Capcom
dbpedia_25,Another World (video game),2018-01-01,Interplay Entertainment,Linux,
dbpedia_26,Bomberman Touch,2009-01-01,Hudson Soft,IOS,Bomberman
dbpedia_27,Fatal Fury 3: Road to the Final Victory,1995-01-01,"SIMS Co., Ltd.",Neo Geo CD,Fatal Fury
dbpedia_28,List of Monster Jam video games,2015-01-01,Rainbow Studios,PlayStation Portable,Monster Jam
dbpedia_29,Raiden III,2005-01-01,Seibu Kaihatsu,Microsoft Windows,Raiden (series)
