mc_id,game_title,year_published,made_by,console,press_rating,player_rating,age_rating
metacritic_1,Red Dead Redemption 2,2018-01-01,Rockstar Games,Xbox One,97.0,8.3,M
metacritic_2,Grand Theft Auto IV,2008-01-01,Rockstar North,Xbox 360,98.0,8.0,M
metacritic_3,SoulCalibur,1999-01-01,Namco,Dreamcast,98.0,8.4,T
metacritic_4,Tony Hawk's Pro Skater 2,2000-01-01,Neversoft Entertainment,PlayStation,98.0,7.5,T
metacritic_5,Super Mario Galaxy,2007-01-01,Nintendo,Wii,97.0,9.1,E
metacritic_6,Grand Theft Auto IV,2008-01-01,Rockstar North,PS3,98.0,7.9,M
metacritic_7,Call of Duty 4: Modern Warfare,2007-01-01,Infinity Ward,Xbox 360,94.0,8.5,M
metacritic_8,The Elder Scrolls IV: Oblivion,2006-01-01,"Bethesda Softworks,Bethesda Game Studios",PC,94.0,8.3,M
metacritic_9,Super Mario Galaxy 2,2010-01-01,Nintendo EAD Tokyo,Wii,97.0,9.1,E
metacritic_10,The Legend of Zelda: Ocarina of Time,1998-01-01,Nintendo,Nintendo 64,99.0,9.0,E
metacritic_11,Elden Ring,2022-01-01,From Software,PC,94.0,7.0,M
metacritic_12,Grand Theft Auto V,2013-01-01,Rockstar North,PS3,97.0,8.3,M
metacritic_13,Ninja Gaiden Black,2005-01-01,Team Ninja,Xbox,94.0,8.7,M
metacritic_14,Grand Theft Auto V,2014-01-01,Rockstar North,Xbox One,97.0,7.9,M
metacritic_15,Street Fighter IV,2009-01-01,Capcom,PS3,94.0,7.4,T
metacritic_16,Super Mario Advance 4: Super Mario Bros. 3,2003-01-01,Nintendo,Game Boy Advance,94.0,9.2,E
metacritic_17,Metal Gear Solid,1998-01-01,KCEJ,PlayStation,94.0,8.4,M
metacritic_18,Halo 3,2007-01-01,"Bungie Software,Bungie",Xbox 360,94.0,8.2,M
metacritic_19,BioShock Infinite,2013-01-01,Irrational Games,PC,94.0,8.6,M
metacritic_20,Call of Duty: Modern Warfare 2,2009-01-01,Infinity Ward,Xbox 360,94.0,6.6,M
metacritic_21,Diablo,1996-01-01,Blizzard Entertainment,PC,94.0,8.7,M
metacritic_22,Burnout 3: Takedown,2004-01-01,Criterion Games,Xbox,94.0,7.8,T
metacritic_23,Tom Clancy's Splinter Cell Chaos Theory,2005-01-01,Ubisoft Montreal,Xbox,94.0,9.1,M
metacritic_24,Jet Grind Radio,2000-01-01,Smilebit,Dreamcast,94.0,8.3,T
metacritic_25,Metal Gear Solid 3: Subsistence,2006-01-01,Aspect,PS2,94.0,8.1,M
metacritic_26,NCAA Football 2004,2003-01-01,EA Sports,PS2,94.0,8.3,E
metacritic_27,Grim Fandango,1998-01-01,LucasArts,PC,94.0,9.0,T
metacritic_28,God of War: Ragnarok,2022-01-01,SCE Santa Monica,PlayStation 5,94.0,8.0,M
metacritic_29,Resident Evil Code: Veronica,2000-01-01,NexTech,Dreamcast,94.0,9.3,M
metacritic_30,Madden NFL 2004,2003-01-01,EA Tiburon,GameCube,94.0,7.0,E
metacritic_31,Metal Gear Solid 4: Guns of the Patriots,2008-01-01,Kojima Productions,PS3,94.0,8.8,M
metacritic_32,God of War,2005-01-01,SCE Santa Monica,PS2,94.0,9.0,M
metacritic_33,Sid Meier's Civilization IV,2005-01-01,Firaxis Games,PC,94.0,8.2,E10+
metacritic_34,Star Wars: Knights of the Old Republic,2003-01-01,BioWare,Xbox,94.0,9.0,T
metacritic_35,Burnout 3: Takedown,2004-01-01,Criterion Games,PS2,93.0,9.0,T
metacritic_36,The Witcher 3: Wild Hunt - Complete Edition,2023-01-01,CD Projekt Red Studio,Xbox Series X,94.0,8.7,M
metacritic_37,Company of Heroes,2006-01-01,"Relic,Relic Entertainment",PC,93.0,8.7,M
metacritic_38,Virtua Fighter 4,2002-01-01,Sega AM2,PS2,94.0,8.0,T
metacritic_39,Super Mario 64,1996-01-01,Nintendo,Nintendo 64,94.0,9.1,E
metacritic_40,Gran Turismo 2,1999-01-01,Polyphony Digital,PlayStation,93.0,9.0,T
