id,name,artist,tracks_track-name
lastfm-0000,John B -  Fermats Theorem / Sight Beyond,John B,"['Fermats Theorem', 'Sight Beyond']"
lastfm-0001,Tempest / Inner Sense,Psychosis,"['Tempest', 'Inner Sense']"
lastfm-0002,Petalpusher -  Surrender,Petalpusher,"['Surrender (Petalpusher Original)', ""Surrender (Mig's Naked Seduction Dub)"", 'Surrender (Attaboy Remix)', ""Surrender (Mig's Naked Seduction vocal)""]"
lastfm-0003,in the spirit,R. Trent,"['In The Spirit (The Full Experience)', 'In The Spirit (Kada)', 'In The Spirit (Guitar Alchemy)']"
lastfm-0004,Come Of Age,S. Vitus Dance,"['Bliss', 'Tunnel Vision', 'Catch The Sun', 'Mystic Vibrations']"
lastfm-0005,Devotional,D. Alvarado,"['Devotional', 'Sunstone']"
lastfm-0006,P. Johnson -  The Music In Me,P. Johnson,"['The Music In Me', 'Slinky', ""Y'All Stole Them Dances"", 'Life In The Jungle', 'Soft Spot']"
lastfm-0007,On and,GH-106,"['XJ6', 'Fantasy']"
lastfm-0008,- new - Subtle Frequencies,C. Jackson,"['Check our Beats', 'Teleport']"
lastfm-0009,Second Area / Think Tank,Inigo Kennedy,"['Second Area', 'Think Tank']"
lastfm-0010,SubCode -  Purple Eggs,SubCode,"['blunt figure', 'blue sneakers']"
lastfm-0011,The Travellers' Dream,Aedena C.,"[""The Travellers' Dream"", 'The Dreamshadow', 'Ciguri', 'Pharagonesia']"
lastfm-0012,Ascensionism,Richard Bone,"['Waters of Assiyah', 'Sister Samadhi', 'Kavvannah', ""Walkin' With the Dharma Bums"", 'Ascensionism', 'Jhana', ""Sultry Sally's Meditation Alley""]"
lastfm-0013,"United DJs of America,  4",D. Morales,
lastfm-0014,Album: Tribal Liberation,Dj Duke,Tribal Journey (The Sun Mix)
lastfm-0015,*popular* Soundtracks for Broken Video Games,S. W.A.V.E.,"['telecommunication', 'Networking 3401', 'Thought Process', 'Contact', 'Robot']"
lastfm-0016,[explicit] Simple Things,Bougie Soliterre,"['Common Thread (Main Horn Mix)', 'Superficial', 'Got the Bug', 'Something (Main Vocal Mix)', 'Besides You (Main Vocal Mix)', 'Magical Moments (Audio Rogue Mix)', ""Bougez (Bougie's Main Horn Mix)"", 'Miles Away (People People Main Mix)']"
lastfm-0017,In The Painful Quest Of Beauty,The Keyprocessor,"['In The Painful Quest Of Beauty', 'Dirt', 'Cabs']"
lastfm-0018,Millennium / Future's Live,Big Bud,"['Millennium', ""Future's Live""]"
lastfm-0019,We are the Future 3,Future 3,"['Future 3', 'Silver M', 'Renaldo', 'B o y d', 'Fumble', 'Dawn', 'Bubbles at dawn', 'D.A.W.N. at 6', '46843516846516']"
lastfm-0020,Beyond the Ozone EP,Aubrey,"['Ginger Biscuit', 'Beyond the Ozone', 'The Skipper']"
lastfm-0021,Mikael D. -  Halcyon Days,Mikael D.,"['Postcards from You', 'In My Heart', 'Melt', 'Diving', 'Halcyon Days', 'The Dawn', 'Body Feedback', 'The Way You Touch My Soul', 'My Brother Says', 'Time Will Show', ""Love Don't Matter"", 'Milk & Honey', 'Deep Indigo', 'Holy Water']"
lastfm-0022,Nightmare Mixes,A. Gruber,"['Inflatable Hands', 'Stimulus', 'Dutch Funk']"
lastfm-0023,The Future Is  Fire,C. Morgenstern,
lastfm-0024,*popular* Prevention Beyond Cause,J. Ruskin,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastfm-0025,Voodooamt -  Voodoopussy,Voodooamt,"['Voodoopussy', 'Voodootoon']"
lastfm-0026,Voodoo,Monika Kruse @. Voodooamt,"['Voodoo', 'Screwdriver', 'itchy']"
lastfm-0027,The Contino Sessions,Death in Vegas,"['Dirge', 'Soul Auctioneer', 'Death Threat', 'Aisha', 'Broken Little Sister', 'Neptune City (Andrew Weatherall Mix)', ""Luther's Funk"", 'Blood Yawning', 'Dirge - Album Version', 'Neptune City - Andrew Weatherall Mix']"
lastfm-0028,The Call Of  Confuciusornis Remixes,Sculpturism,The Vulcan's Hammer (Stoned In Uden Mix)
lastfm-0029,Still,Amongst Myselves,"[""Ra's Playground"", 'Shepherds of the Rings', 'The Ground Melts', 'Ship of Dreams', 'Safe in Narwang Baru', 'Encounter at the Bay', ""Lowell's Legacy"", 'Darkness', 'Relics of an Early Universe']"
lastfm-0030,Electronic Fragments EP,Skanfrom,"['in', 'Fragment', 'Remote', 'Cashier', 'Telepho:n', 'out']"
lastfm-0031,Trouble / Daylight,Q Project,"['Trouble', 'Daylight']"
lastfm-0032,Quiet Is the New Loud,T. Remote Viewer,"['How Did We Get It So Wrong?', 'A Lot of Ifs (Inzamam)', 'Press It On', 'Quiet Is the New Loud', 'Does It Take Turn', 'Slowly, in Waves']"
lastfm-0033,To Let Go,M. Romanenko,"['La Belle Femme Mix 2', 'Diary', 'composition five', 'composition one', 'Gurulat', 'Lust / Wrong']"
lastfm-0034,Surrender Now,Progression,"['Surrender Now', 'Tribal Dub', 'Drums Of Life']"
lastfm-0035,Spaces,E. Ruoho,"['Departure', 'Pond Assemblage', 'Birthday Scrutiny', 'Space', 'Compensator']"
lastfm-0036,To the Music,Mojolators,"['To the Music', 'Drifting']"
lastfm-0037,Momentum / Immersion,Deep Blue,"['Momentum', 'Immersion']"
lastfm-0038,Joyride,Benjamin D.,"['Joyride', 'Joyride (Dub)']"
lastfm-0039,Hidden Agenda,DJ Q,
lastfm-0040,*popular* On the Dancefloor EP,W. Griffin,"['On the Dancefloor', 'Classic Fingers', 'Mystical Journey']"
lastfm-0041,[explicit] The Low Empire,Mainline Crux,"['Modern Days', 'Shutter the Fog', 'Horizon', 'The Maze', 'Lowdown', 'La Only', 'Ask the Judge', 'Bad Blood', 'Automatic Operator', 'Sparkle On', 'Burning Room', 'The Fade', ""Liar's Rain"", 'Exit Ramp']"
lastfm-0042,Classics,Ten City,"[""That's the Way Love Is"", 'Deep Kiss', 'Devotion']"
lastfm-0043,Replicant,Pacou,"['ATP', 'Robot M', 'Controlling atoms']"
lastfm-0044,Shelter,B. Foundation,"['Give Me Shelter (Velvet Mix)', 'Give Me Shelter (Rawhide Mix)', 'Rain Or Shine', 'Wedded Blysse', 'Seven Steps']"
lastfm-0045,*popular* Health Warning,Trance[]control,"['Psychotic Chaos', 'Welcome to the House']"
lastfm-0046,- new - Electronic Illusions,Chris Tomasone,"['Its Getting Closer', 'Anythings Possible']"
lastfm-0047,Nightmare Walking,Future Prophecies,
lastfm-0048,Broken Promise / Pulse Code,Simon V.,"['Broken Promise', 'Pulse Code']"
lastfm-0049,Haze / Contrast,PHD,haze
lastfm-0050,Classics 1,T. City,"['Only Time Will Tell', 'All Loved Out', 'Suspicious']"
lastfm-0051,Fairlight / Desert Traveller,Artemis,"['Fairlight', 'desert traveller']"
lastfm-0052,Dan Curtin -  Life In The Savage Garden E.P.,Dan Curtin,"['Maintain', 'Fade', 'At you', 'Running']"
lastfm-0053,The Butterfly,Chris Nazuka,"['Pick Your Poison', 'Pick Your Poison (Internal Mix)', 'Shadowboxing', 'Blue', '4 A.M']"
lastfm-0054,Butterfly,F. Flash,"['Butterfly Catcher', 'Journey Into Scoose', 'Lunatic Jam', 'Butterfly Catcher (In The Ozone)']"
lastfm-0055,S. Experience -  soul experience,S. Experience,I Can't Stand Up
lastfm-0056,Album: On the North Star with Gemini,Gemini,"['Snow Drop', 'Day Dreaming', 'A Blue Night', 'X']"
lastfm-0057,Purple EP,DJ Assault,"['Dia Daa Daa (Remix)', 'Sex On The Beach', 'Funky Bitch', 'funky bitch (instrumental)']"
lastfm-0058,S. Stoll -  Mono In Chrome,S. Stoll,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastfm-0059,Feel The Drums,Native,"['Feel The Drums (Original Mix)', 'Feel the Drums (Tough mix)', 'Feel the drums (public domain mix)']"
lastfm-0060,Fallen Funk Files,Samuel L Session,
lastfm-0061,Fruits Of The Spirit,B. Williams,"['Fruits Of The Spirit', 'Hiding Secrets', 'Crying Black Man', 'Changes']"
lastfm-0062,Musicology,Niko Marks,"['Feel My Groove', 'Musicology', 'Musicology (Jazz mix)', 'My Music']"
lastfm-0063,Tidal Frequencies,Norken,"['Just A Phase', 'Instamatic', 'Motor Breeze']"
lastfm-0064,Inside Straight / Troublefunk,EinzelgÃƒÂ¤nger,Inside Straight
lastfm-0065,Dubtribe Sound System -  Mother Earth,Dubtribe Sound System,"['Mother Earth', 'mother earth (remix)', ""Mother Earth (Sunshine's remix) (feat. DJ Collage)"", 'Memory (Edit)']"
lastfm-0066,Sensitive Electronic,Electrostatic,"['Someday', 'Magnetic Pulse (instrumental)', 'Reflection', 'Swallowtail', 'Stain', 'Inside You', 'Feel']"
lastfm-0067,Un Dia Soleado / Only Dubbin' On My 808,Jeremiah,"['Un Dia Soleado', ""Only Dubbin' On My 808""]"
lastfm-0068,when i'm with you,G. Levin,"[""When I'm With You (original version)"", ""When I'm With You (Jimpster's dub mix)"", ""When I'm With You (Jimpster's Vocal Mix)"", 'keep on making me high']"
lastfm-0069,Headroom -  Too Dark Park EP,Headroom,"['Tuker', 'Cope', 'top']"
lastfm-0070,Resurrection EP,Mark Verbos,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastfm-0071,Spiritual Aura (Remixes),D. Rap,
lastfm-0072,Jupiter,S. Deason,"['Jupiter Sunrise', 'Inside Out', 'Razorback', 'Vibe']"
lastfm-0073,Alex Gordon -  Small Craft Warnings Remixes,Alex Gordon,"['Small Craft Warnings (John Tejada remix)', 'Small Craft Warnings (Alex Gordon/Low Fi remix)', 'Small Craft Warnings (Justin Warfield remix)', 'Small Craft Warnings (Alex Gordon Land mix)']"
lastfm-0074,Colors,Future Prophecies,"['Colors', 'Colors (Dub)']"
lastfm-0075,Danger Room /  Souls,L. Fitzpatrick,"['Danger Room', 'Lost Souls']"
lastfm-0076,Hyper Experience / Strobe  Network,Cold,"['Hyper Experience', 'Hyper Experience (Hyper dub mix)', 'Strobe Light Network']"
lastfm-0077,Chrome Feather,Reptilica,"['Eyeball Room', 'Animal Model', 'Caminante', 'Queen of Luxury', 'Japanese Vein Device', 'The Rope Leads Down', 'Autobot', 'Drive to MN', 'Flight 0.8', 'Deep Sea Friends', 'Defuse The Dragon', 'Beyond The Herd']"
lastfm-0078,[explicit] Struggle Gentlemen,S-Club,"['Gentlemen Need Struggle', 'Gentlemen Need Deeper']"
lastfm-0079,Bubblebath,Aphex Twin,"['isopropophlex', 'Entrance To Exit', 'AfX 2 - AFX']"
lastfm-0080,Damnation,Wicked,"['disco damnation (remix)', 'Disco Damnation (original)', 'Work It']"
lastfm-0081,Saturday Night Experience,J. Watley,"['Saturday Night Experience (Shelter Vocal)', 'Saturday Night Experience (Original)', 'Saturday Night Experience (Ron Trent Vocal)', 'Saturday Night Experience (Shelter Dub)']"
lastfm-0082,Twin Peaks theme,Minimalistix,"['Firewalkers (Filterheadz remix)', 'Twin Peaks Theme (DJ Garry vs FTW remix)', 'twin peaks theme (brian koner club mix)', 'Twin Peaks Theme (DJ Gert Tribal Trance MIx)']"
lastfm-0083,the Future EP,Speedy J,"['Evolution', 'Destroit', 'Analogical', 'Pull Over']"
lastfm-0084,Sunrise,Dave,"['Sunrise', 'Pole Position', 'tower power']"
lastfm-0085,Album: The Future,J. Lissat,"['The Future', 'Bulga', 'New Float']"
lastfm-0086,The Darkness,Hemisphere,
lastfm-0087,Ice. Stratosphere,Monolake,
lastfm-0088,Purple Twilight / Musical Rush,N. Sentience,
lastfm-0089,Drukqs 2  Promo,Aphex T.,Cock 10 (Delco Freedom mix)
lastfm-0090,No Texture / Not for Outsiders,Paradox,"['No Texture', 'Not For Outsiders']"
lastfm-0091,Outsider,Dominion,"['Outsider', 'Outsider (Subtania Mix)']"
lastfm-0092,BT -  Mercury and Solace,BT,"['Mercury and Solace (12"" Master Mix)', 'Mercury And Solace (Transa Remix)']"
lastfm-0093,Belong,LoSoul,"['Late Play', 'Resisting Curare', 'Sunbeams and the Rain', 'Position', 'You Can Do', 'Overland', 'Lies', 'Remember You History', 'Depth Control']"
lastfm-0094,The Spirit,Gene Farris,
lastfm-0095,Clumsy Lobster,Ernest Saint Laurent,
lastfm-0096,Travellers Of The Mind /,Enzyme X.,"['Travellers of the Mind', 'Syskwahor']"
lastfm-0097,Benge -  Beautiful Electronic Music,Benge,"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven', 'Eight']"
lastfm-0098,polyrhythmic electronica,Benge,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastfm-0099,Blackout,L. Louis,
lastfm-0100,Armed and Dangerous,M. Richardson,"['Armed', 'Dangerous']"
lastfm-0101,Club Classics Vol. One - 10th Anniversary Edition,Soul II Soul,
lastfm-0102,Ya Mama / Song for Shelter,Fatboy S.,"['Song for Shelter (Chemical Brothers Remix)', ""Song for Shelter (The 20:20 Vision Rollin' Mix)""]"
lastfm-0103,*popular* Grand Tourism,Grand Tourism,"['Jim Clark Theorem', ""Les Courants D'Air"", 'Snakeplayer', 'Bassmajazz', 'Hybrid Story', 'Variations Sur Emma Peel', 'Act Of Love', 'Le Surboomer', 'Romantic Hold Up', 'La Baie du Fakir', 'Vega Music', 'La Guitare EnchantÃƒÂ©e']"
lastfm-0104,Chill Out Sector,Ynos,
lastfm-0105,Echoes Beyond Tomorrow,Transparent S.,"['Never Fall Again (original)', 'Never Fall Again (scape one remix)', 'Never Fall Again (subfunk remix)']"
lastfm-0106,/ Shelter,J. KÃƒÂ¶hncke,"['Jet', 'Shelter', 'Jet (M. Mayer Mix)']"
lastfm-0107,[explicit] Phat Lab. Nightmare,W. Christ,"['Mahadelic', 'Glass World', 'Phat Lab. Nightmare', 'Aerhaart; From Within', 'Aerhaart; Ahead', 'Aerhaart; Barrier', 'Panorak', 'Dances With Francis']"
lastfm-0108,Primitive Dance,Levantine,
