source_dataset,source_column,target_dataset,target_column,score,notes
fullcontact,id,Companies,id,1.0,similarity_function=jaro_winkler
fullcontact,id,Companies,city,0.5833333333333334,similarity_function=jaro_winkler
fullcontact,id,Companies,industry,0.775,similarity_function=jaro_winkler
fullcontact,id,Companies,founders,0.5416666666666666,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,id,0.5303030303030303,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,website,0.5616883116883117,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,founded,0.48917748917748916,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,country,0.45598845598845594,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,city,0.393939393939394,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,industry,0.4545454545454546,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,assets,0.41919191919191917,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,revenue,0.5670995670995671,similarity_function=jaro_winkler
fullcontact,Attribute_2,Companies,founders,0.43813131313131315,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,id,0.5303030303030303,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,website,0.5616883116883117,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,founded,0.48917748917748916,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,country,0.45598845598845594,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,city,0.393939393939394,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,industry,0.4545454545454546,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,assets,0.41919191919191917,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,revenue,0.5670995670995671,similarity_function=jaro_winkler
fullcontact,Attribute_3,Companies,founders,0.43813131313131315,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,id,0.5303030303030303,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,website,0.5616883116883117,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,founded,0.48917748917748916,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,country,0.45598845598845594,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,city,0.393939393939394,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,industry,0.4545454545454546,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,assets,0.41919191919191917,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,revenue,0.5670995670995671,similarity_function=jaro_winkler
fullcontact,Attribute_4,Companies,founders,0.43813131313131315,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,id,0.5303030303030303,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,website,0.5616883116883117,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,founded,0.48917748917748916,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,country,0.45598845598845594,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,city,0.393939393939394,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,industry,0.4545454545454546,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,assets,0.41919191919191917,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,revenue,0.5670995670995671,similarity_function=jaro_winkler
fullcontact,Attribute_5,Companies,founders,0.43813131313131315,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,id,0.5303030303030303,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,website,0.5616883116883117,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,founded,0.48917748917748916,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,country,0.45598845598845594,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,city,0.393939393939394,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,industry,0.4545454545454546,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,assets,0.41919191919191917,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,revenue,0.5670995670995671,similarity_function=jaro_winkler
fullcontact,Attribute_6,Companies,founders,0.43813131313131315,similarity_function=jaro_winkler
