use_case,dataset,matcher,matcher_type,threshold,num_predicted,num_ground_truth,tp,fp,fn,precision,recall,f1
music,discogs,label_jaccard,label,0.3,3,8,2,1,6,0.6666666666666666,0.25,0.36363636363636365
music,discogs,label_levenshtein,label,0.3,5,8,2,3,6,0.4,0.25,0.3076923076923077
music,discogs,label_jaro_winkler,label,0.3,55,8,7,48,1,0.12727272727272726,0.875,0.22222222222222224
music,discogs,label_cosine,label,0.3,3,8,2,1,6,0.6666666666666666,0.25,0.36363636363636365
music,discogs,instance_tfidf_cosine,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
music,discogs,instance_tf_cosine,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
music,discogs,instance_binary_jaccard,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
music,lastfm,label_jaccard,label,0.3,3,5,2,1,3,0.6666666666666666,0.4,0.5
music,lastfm,label_levenshtein,label,0.3,2,5,2,0,3,1.0,0.4,0.5714285714285715
music,lastfm,label_jaro_winkler,label,0.3,33,5,5,28,0,0.15151515151515152,1.0,0.2631578947368421
music,lastfm,label_cosine,label,0.3,3,5,2,1,3,0.6666666666666666,0.4,0.5
music,lastfm,instance_tfidf_cosine,instance,0.3,9,5,2,7,3,0.2222222222222222,0.4,0.2857142857142857
music,lastfm,instance_tf_cosine,instance,0.3,7,5,1,6,4,0.14285714285714285,0.2,0.16666666666666666
music,lastfm,instance_binary_jaccard,instance,0.3,0,5,0,0,5,0.0,0.0,0.0
music,musicbrainz,label_jaccard,label,0.3,1,7,1,0,6,1.0,0.14285714285714285,0.25
music,musicbrainz,label_levenshtein,label,0.3,1,7,1,0,6,1.0,0.14285714285714285,0.25
music,musicbrainz,label_jaro_winkler,label,0.3,50,7,6,44,1,0.12,0.8571428571428571,0.21052631578947367
music,musicbrainz,label_cosine,label,0.3,1,7,1,0,6,1.0,0.14285714285714285,0.25
music,musicbrainz,instance_tfidf_cosine,instance,0.3,11,7,4,7,3,0.36363636363636365,0.5714285714285714,0.4444444444444444
music,musicbrainz,instance_tf_cosine,instance,0.3,9,7,3,6,4,0.3333333333333333,0.42857142857142855,0.375
music,musicbrainz,instance_binary_jaccard,instance,0.3,0,7,0,0,7,0.0,0.0,0.0
games,dbpedia,label_jaccard,label,0.3,1,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
games,dbpedia,label_levenshtein,label,0.3,2,6,1,1,5,0.5,0.16666666666666666,0.25
games,dbpedia,label_jaro_winkler,label,0.3,50,6,6,44,0,0.12,1.0,0.21428571428571425
games,dbpedia,label_cosine,label,0.3,1,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857
games,dbpedia,instance_tfidf_cosine,instance,0.3,0,6,0,0,6,0.0,0.0,0.0
games,dbpedia,instance_tf_cosine,instance,0.3,0,6,0,0,6,0.0,0.0,0.0
games,dbpedia,instance_binary_jaccard,instance,0.3,0,6,0,0,6,0.0,0.0,0.0
games,metacritic,label_jaccard,label,0.3,1,8,1,0,7,1.0,0.125,0.2222222222222222
games,metacritic,label_levenshtein,label,0.3,6,8,2,4,6,0.3333333333333333,0.25,0.28571428571428575
games,metacritic,label_jaro_winkler,label,0.3,73,8,7,66,1,0.0958904109589041,0.875,0.17283950617283952
games,metacritic,label_cosine,label,0.3,1,8,1,0,7,1.0,0.125,0.2222222222222222
games,metacritic,instance_tfidf_cosine,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
games,metacritic,instance_tf_cosine,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
games,metacritic,instance_binary_jaccard,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
games,sales,label_jaccard,label,0.3,1,10,1,0,9,1.0,0.1,0.18181818181818182
games,sales,label_levenshtein,label,0.3,3,10,1,2,9,0.3333333333333333,0.1,0.15384615384615383
games,sales,label_jaro_winkler,label,0.3,76,10,1,75,9,0.013157894736842105,0.1,0.023255813953488372
games,sales,label_cosine,label,0.3,1,10,1,0,9,1.0,0.1,0.18181818181818182
games,sales,instance_tfidf_cosine,instance,0.3,1,10,0,1,10,0.0,0.0,0.0
games,sales,instance_tf_cosine,instance,0.3,1,10,0,1,10,0.0,0.0,0.0
games,sales,instance_binary_jaccard,instance,0.3,0,10,0,0,10,0.0,0.0,0.0
companies,dbpedia,label_jaccard,label,0.3,4,8,3,1,5,0.75,0.375,0.5
companies,dbpedia,label_levenshtein,label,0.3,7,8,3,4,5,0.42857142857142855,0.375,0.39999999999999997
companies,dbpedia,label_jaro_winkler,label,0.3,69,8,6,63,2,0.08695652173913043,0.75,0.15584415584415584
companies,dbpedia,label_cosine,label,0.3,4,8,3,1,5,0.75,0.375,0.5
companies,dbpedia,instance_tfidf_cosine,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
companies,dbpedia,instance_tf_cosine,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
companies,dbpedia,instance_binary_jaccard,instance,0.3,0,8,0,0,8,0.0,0.0,0.0
