case,optimization_mode,attribute,resolver,kwargs
heuristic,none,Attribute_6,union,"{""separator"": "",""}"
heuristic,none,Attribute_7,most_complete,{}
heuristic,none,artist,most_complete,{}
heuristic,none,genre,most_complete,{}
heuristic,none,label,most_complete,{}
heuristic,none,name,longest_string,{}
heuristic,none,release-country,most_complete,{}
heuristic,none,release-date,prefer_higher_trust,"{""trust_key"": ""trust_score""}"
heuristic,none,tracks_track-name,union,"{""separator"": "",""}"
llm_no_val,none,artist,union,"{""separator"": "",""}"
llm_no_val,none,duration,maximum,{}
llm_no_val,none,genre,union,"{""separator"": "",""}"
llm_no_val,none,label,union,"{""separator"": "",""}"
llm_no_val,none,name,longest_string,{}
llm_no_val,none,release-country,voting,{}
llm_no_val,none,release-date,earliest,{}
llm_no_val,none,tracks_track-name,union,"{""separator"": "",""}"
llm_val,llm,Attribute_6,union,"{""separator"": "",""}"
llm_val,llm,Attribute_7,maximum,{}
llm_val,llm,artist,favour_sources,"{""sources"": [""discogs""]}"
llm_val,llm,genre,favour_sources,"{""sources"": [""discogs""]}"
llm_val,llm,label,favour_sources,"{""sources"": [""discogs""]}"
llm_val,llm,name,favour_sources,"{""sources"": [""musicbrainz""]}"
llm_val,llm,release-country,voting,{}
llm_val,llm,release-date,prefer_higher_trust,"{""trust_key"": ""trust_score""}"
llm_val,llm,tracks_track-name,favour_sources,"{""sources"": [""musicbrainz""]}"
llm_val,llm_omit,Attribute_6,union,"{""separator"": "",""}"
llm_val,llm_omit,Attribute_7,maximum,{}
llm_val,llm_omit,artist,favour_sources,"{""sources"": [""discogs""]}"
llm_val,llm_omit,genre,favour_sources,"{""sources"": [""discogs""]}"
llm_val,llm_omit,label,favour_sources,"{""sources"": [""discogs""]}"
llm_val,llm_omit,name,favour_sources,"{""sources"": [""musicbrainz""]}"
llm_val,llm_omit,release-country,voting,{}
llm_val,llm_omit,release-date,most_recent,{}
llm_val,llm_omit,tracks_track-name,favour_sources,"{""sources"": [""musicbrainz""]}"
llm_val,web,Attribute_6,union,"{""separator"": "",""}"
