case,optimization_mode,attribute,source,correct,total,accuracy
llm_val_stats,llm,name,dbpedia,14,15,0.9333333333333333
llm_val_stats,llm,name,sales,13,13,1.0
llm_val_stats,llm,name,metacritic,14,15,0.9333333333333333
llm_val_stats,llm_omit,name,dbpedia,14,15,0.9333333333333333
llm_val_stats,llm_omit,name,sales,13,13,1.0
llm_val_stats,llm_omit,name,metacritic,14,15,0.9333333333333333
llm_val_stats,web,name,dbpedia,13,15,0.8666666666666667
llm_val_stats,web,name,sales,13,13,1.0
llm_val_stats,web,name,metacritic,13,15,0.8666666666666667
llm_val_stats,web_omit,name,dbpedia,14,15,0.9333333333333333
llm_val_stats,web_omit,name,sales,13,13,1.0
llm_val_stats,web_omit,name,metacritic,14,15,0.9333333333333333
heuristic_stats,llm,name,dbpedia,14,15,0.9333333333333333
heuristic_stats,llm,name,sales,13,13,1.0
heuristic_stats,llm,name,metacritic,14,15,0.9333333333333333
heuristic_stats,llm_omit,name,dbpedia,14,15,0.9333333333333333
heuristic_stats,llm_omit,name,sales,13,13,1.0
heuristic_stats,llm_omit,name,metacritic,14,15,0.9333333333333333
heuristic_stats,web,name,dbpedia,13,15,0.8666666666666667
heuristic_stats,web,name,sales,13,13,1.0
heuristic_stats,web,name,metacritic,13,15,0.8666666666666667
heuristic_stats,web_omit,name,dbpedia,14,15,0.9333333333333333
heuristic_stats,web_omit,name,sales,13,13,1.0
heuristic_stats,web_omit,name,metacritic,14,15,0.9333333333333333
iterative,llm,name,dbpedia,14,15,0.9333333333333333
iterative,llm,name,sales,13,13,1.0
iterative,llm,name,metacritic,14,15,0.9333333333333333
iterative,llm_omit,name,dbpedia,14,15,0.9333333333333333
iterative,llm_omit,name,sales,13,13,1.0
iterative,llm_omit,name,metacritic,14,15,0.9333333333333333
iterative,web,name,dbpedia,13,15,0.8666666666666667
iterative,web,name,sales,13,13,1.0
iterative,web,name,metacritic,13,15,0.8666666666666667
iterative,web_omit,name,dbpedia,14,15,0.9333333333333333
iterative,web_omit,name,sales,13,13,1.0
iterative,web_omit,name,metacritic,14,15,0.9333333333333333
