case,optimization_mode,attribute,source,correct,total,accuracy
llm_val_stats,llm,name,forbes,4,12,0.3333333333333333
llm_val_stats,llm,name,dbpedia,5,12,0.4166666666666667
llm_val_stats,llm,name,fullcontact,3,8,0.375
llm_val_stats,llm,website,forbes,0,10,0.0
llm_val_stats,llm,country,forbes,9,11,0.8181818181818182
llm_val_stats,llm,country,dbpedia,8,11,0.7272727272727273
llm_val_stats,llm,country,fullcontact,5,5,1.0
llm_val_stats,llm,industry,dbpedia,1,7,0.14285714285714285
llm_val_stats,llm,industry,forbes,0,1,0.0
llm_val_stats,llm,revenue,forbes,6,9,0.6666666666666666
llm_val_stats,llm,revenue,dbpedia,2,5,0.4
llm_val_stats,llm,assets,forbes,3,3,1.0
llm_val_stats,llm,assets,dbpedia,3,3,1.0
llm_val_stats,llm,city,fullcontact,0,1,0.0
llm_val_stats,llm,city,dbpedia,0,1,0.0
llm_val_stats,llm,keypeople_name,fullcontact,0,1,0.0
llm_val_stats,llm,keypeople_name,dbpedia,0,1,0.0
llm_val_stats,llm_omit,name,forbes,6,12,0.5
llm_val_stats,llm_omit,name,dbpedia,6,12,0.5
llm_val_stats,llm_omit,name,fullcontact,4,8,0.5
llm_val_stats,llm_omit,website,forbes,0,10,0.0
llm_val_stats,llm_omit,country,forbes,9,11,0.8181818181818182
llm_val_stats,llm_omit,country,dbpedia,9,11,0.8181818181818182
llm_val_stats,llm_omit,country,fullcontact,5,5,1.0
llm_val_stats,llm_omit,industry,dbpedia,0,7,0.0
llm_val_stats,llm_omit,industry,forbes,0,1,0.0
llm_val_stats,llm_omit,assets,forbes,0,3,0.0
llm_val_stats,llm_omit,assets,dbpedia,0,2,0.0
llm_val_stats,llm_omit,revenue,forbes,0,7,0.0
llm_val_stats,llm_omit,revenue,dbpedia,0,3,0.0
llm_val_stats,llm_omit,city,fullcontact,0,1,0.0
llm_val_stats,llm_omit,city,dbpedia,1,1,1.0
llm_val_stats,llm_omit,keypeople_name,fullcontact,0,1,0.0
llm_val_stats,llm_omit,keypeople_name,dbpedia,0,1,0.0
llm_val_stats,web,name,forbes,1,14,0.07142857142857142
llm_val_stats,web,name,dbpedia,0,14,0.0
llm_val_stats,web,name,fullcontact,0,8,0.0
llm_val_stats,web,website,forbes,0,10,0.0
llm_val_stats,web,country,forbes,9,11,0.8181818181818182
llm_val_stats,web,country,dbpedia,9,11,0.8181818181818182
llm_val_stats,web,country,fullcontact,5,5,1.0
llm_val_stats,web,industry,dbpedia,1,7,0.14285714285714285
llm_val_stats,web,industry,forbes,0,1,0.0
llm_val_stats,web,assets,forbes,1,10,0.1
llm_val_stats,web,assets,dbpedia,1,3,0.3333333333333333
llm_val_stats,web,revenue,forbes,1,10,0.1
llm_val_stats,web,revenue,dbpedia,1,5,0.2
llm_val_stats,web,city,fullcontact,0,1,0.0
llm_val_stats,web,city,dbpedia,1,1,1.0
llm_val_stats,web,keypeople_name,fullcontact,1,1,1.0
llm_val_stats,web,keypeople_name,dbpedia,0,1,0.0
llm_val_stats,web_omit,name,forbes,1,14,0.07142857142857142
llm_val_stats,web_omit,name,dbpedia,1,14,0.07142857142857142
llm_val_stats,web_omit,name,fullcontact,0,8,0.0
llm_val_stats,web_omit,website,forbes,0,10,0.0
llm_val_stats,web_omit,country,forbes,10,11,0.9090909090909091
llm_val_stats,web_omit,country,dbpedia,8,11,0.7272727272727273
llm_val_stats,web_omit,country,fullcontact,4,5,0.8
llm_val_stats,web_omit,industry,dbpedia,0,7,0.0
llm_val_stats,web_omit,industry,forbes,0,1,0.0
llm_val_stats,web_omit,assets,forbes,0,10,0.0
llm_val_stats,web_omit,assets,dbpedia,0,3,0.0
llm_val_stats,web_omit,revenue,forbes,0,10,0.0
llm_val_stats,web_omit,revenue,dbpedia,0,5,0.0
llm_val_stats,web_omit,city,fullcontact,0,1,0.0
llm_val_stats,web_omit,city,dbpedia,1,1,1.0
llm_val_stats,web_omit,keypeople_name,fullcontact,0,1,0.0
llm_val_stats,web_omit,keypeople_name,dbpedia,0,1,0.0
heuristic_stats,llm,name,forbes,4,12,0.3333333333333333
heuristic_stats,llm,name,dbpedia,5,12,0.4166666666666667
heuristic_stats,llm,name,fullcontact,3,8,0.375
heuristic_stats,llm,website,forbes,0,10,0.0
heuristic_stats,llm,country,forbes,9,11,0.8181818181818182
heuristic_stats,llm,country,dbpedia,8,11,0.7272727272727273
heuristic_stats,llm,country,fullcontact,5,5,1.0
heuristic_stats,llm,industry,dbpedia,1,7,0.14285714285714285
heuristic_stats,llm,industry,forbes,0,1,0.0
heuristic_stats,llm,revenue,forbes,6,9,0.6666666666666666
heuristic_stats,llm,revenue,dbpedia,2,5,0.4
heuristic_stats,llm,assets,forbes,3,3,1.0
heuristic_stats,llm,assets,dbpedia,3,3,1.0
heuristic_stats,llm,city,fullcontact,0,1,0.0
heuristic_stats,llm,city,dbpedia,0,1,0.0
heuristic_stats,llm,keypeople_name,fullcontact,0,1,0.0
heuristic_stats,llm,keypeople_name,dbpedia,0,1,0.0
heuristic_stats,llm_omit,name,forbes,6,12,0.5
heuristic_stats,llm_omit,name,dbpedia,6,12,0.5
heuristic_stats,llm_omit,name,fullcontact,4,8,0.5
heuristic_stats,llm_omit,website,forbes,0,10,0.0
heuristic_stats,llm_omit,country,forbes,9,11,0.8181818181818182
heuristic_stats,llm_omit,country,dbpedia,9,11,0.8181818181818182
heuristic_stats,llm_omit,country,fullcontact,5,5,1.0
heuristic_stats,llm_omit,industry,dbpedia,0,7,0.0
heuristic_stats,llm_omit,industry,forbes,0,1,0.0
heuristic_stats,llm_omit,assets,forbes,0,3,0.0
heuristic_stats,llm_omit,assets,dbpedia,0,2,0.0
heuristic_stats,llm_omit,revenue,forbes,0,7,0.0
heuristic_stats,llm_omit,revenue,dbpedia,0,3,0.0
heuristic_stats,llm_omit,city,fullcontact,0,1,0.0
heuristic_stats,llm_omit,city,dbpedia,1,1,1.0
heuristic_stats,llm_omit,keypeople_name,fullcontact,0,1,0.0
heuristic_stats,llm_omit,keypeople_name,dbpedia,0,1,0.0
heuristic_stats,web,name,forbes,1,14,0.07142857142857142
heuristic_stats,web,name,dbpedia,0,14,0.0
heuristic_stats,web,name,fullcontact,0,8,0.0
heuristic_stats,web,website,forbes,0,10,0.0
heuristic_stats,web,country,forbes,9,11,0.8181818181818182
heuristic_stats,web,country,dbpedia,9,11,0.8181818181818182
heuristic_stats,web,country,fullcontact,5,5,1.0
heuristic_stats,web,industry,dbpedia,1,7,0.14285714285714285
heuristic_stats,web,industry,forbes,0,1,0.0
heuristic_stats,web,assets,forbes,1,10,0.1
heuristic_stats,web,assets,dbpedia,1,3,0.3333333333333333
heuristic_stats,web,revenue,forbes,1,10,0.1
heuristic_stats,web,revenue,dbpedia,1,5,0.2
heuristic_stats,web,city,fullcontact,0,1,0.0
heuristic_stats,web,city,dbpedia,1,1,1.0
heuristic_stats,web,keypeople_name,fullcontact,1,1,1.0
heuristic_stats,web,keypeople_name,dbpedia,0,1,0.0
heuristic_stats,web_omit,name,forbes,1,14,0.07142857142857142
heuristic_stats,web_omit,name,dbpedia,1,14,0.07142857142857142
heuristic_stats,web_omit,name,fullcontact,0,8,0.0
heuristic_stats,web_omit,website,forbes,0,10,0.0
heuristic_stats,web_omit,country,forbes,10,11,0.9090909090909091
heuristic_stats,web_omit,country,dbpedia,8,11,0.7272727272727273
heuristic_stats,web_omit,country,fullcontact,4,5,0.8
heuristic_stats,web_omit,industry,dbpedia,0,7,0.0
heuristic_stats,web_omit,industry,forbes,0,1,0.0
heuristic_stats,web_omit,assets,forbes,0,10,0.0
heuristic_stats,web_omit,assets,dbpedia,0,3,0.0
heuristic_stats,web_omit,revenue,forbes,0,10,0.0
heuristic_stats,web_omit,revenue,dbpedia,0,5,0.0
heuristic_stats,web_omit,city,fullcontact,0,1,0.0
heuristic_stats,web_omit,city,dbpedia,1,1,1.0
heuristic_stats,web_omit,keypeople_name,fullcontact,0,1,0.0
heuristic_stats,web_omit,keypeople_name,dbpedia,0,1,0.0
iterative,llm,name,forbes,4,12,0.3333333333333333
iterative,llm,name,dbpedia,5,12,0.4166666666666667
iterative,llm,name,fullcontact,3,8,0.375
iterative,llm,website,forbes,0,10,0.0
iterative,llm,country,forbes,9,11,0.8181818181818182
iterative,llm,country,dbpedia,8,11,0.7272727272727273
iterative,llm,country,fullcontact,5,5,1.0
iterative,llm,industry,dbpedia,1,7,0.14285714285714285
iterative,llm,industry,forbes,0,1,0.0
iterative,llm,revenue,forbes,6,9,0.6666666666666666
iterative,llm,revenue,dbpedia,2,5,0.4
iterative,llm,assets,forbes,3,3,1.0
iterative,llm,assets,dbpedia,3,3,1.0
iterative,llm,city,fullcontact,0,1,0.0
iterative,llm,city,dbpedia,0,1,0.0
iterative,llm,keypeople_name,fullcontact,0,1,0.0
iterative,llm,keypeople_name,dbpedia,0,1,0.0
iterative,llm_omit,name,forbes,6,12,0.5
iterative,llm_omit,name,dbpedia,6,12,0.5
iterative,llm_omit,name,fullcontact,4,8,0.5
iterative,llm_omit,website,forbes,0,10,0.0
iterative,llm_omit,country,forbes,9,11,0.8181818181818182
iterative,llm_omit,country,dbpedia,9,11,0.8181818181818182
iterative,llm_omit,country,fullcontact,5,5,1.0
iterative,llm_omit,industry,dbpedia,0,7,0.0
iterative,llm_omit,industry,forbes,0,1,0.0
iterative,llm_omit,assets,forbes,0,3,0.0
iterative,llm_omit,assets,dbpedia,0,2,0.0
iterative,llm_omit,revenue,forbes,0,7,0.0
iterative,llm_omit,revenue,dbpedia,0,3,0.0
iterative,llm_omit,city,fullcontact,0,1,0.0
iterative,llm_omit,city,dbpedia,1,1,1.0
iterative,llm_omit,keypeople_name,fullcontact,0,1,0.0
iterative,llm_omit,keypeople_name,dbpedia,0,1,0.0
iterative,web,name,forbes,1,14,0.07142857142857142
iterative,web,name,dbpedia,0,14,0.0
iterative,web,name,fullcontact,0,8,0.0
iterative,web,website,forbes,0,10,0.0
iterative,web,country,forbes,9,11,0.8181818181818182
iterative,web,country,dbpedia,9,11,0.8181818181818182
iterative,web,country,fullcontact,5,5,1.0
iterative,web,industry,dbpedia,1,7,0.14285714285714285
iterative,web,industry,forbes,0,1,0.0
iterative,web,assets,forbes,1,10,0.1
iterative,web,assets,dbpedia,1,3,0.3333333333333333
iterative,web,revenue,forbes,1,10,0.1
iterative,web,revenue,dbpedia,1,5,0.2
iterative,web,city,fullcontact,0,1,0.0
iterative,web,city,dbpedia,1,1,1.0
iterative,web,keypeople_name,fullcontact,1,1,1.0
iterative,web,keypeople_name,dbpedia,0,1,0.0
iterative,web_omit,name,forbes,1,14,0.07142857142857142
iterative,web_omit,name,dbpedia,1,14,0.07142857142857142
iterative,web_omit,name,fullcontact,0,8,0.0
iterative,web_omit,website,forbes,0,10,0.0
iterative,web_omit,country,forbes,10,11,0.9090909090909091
iterative,web_omit,country,dbpedia,8,11,0.7272727272727273
iterative,web_omit,country,fullcontact,4,5,0.8
iterative,web_omit,industry,dbpedia,0,7,0.0
iterative,web_omit,industry,forbes,0,1,0.0
iterative,web_omit,assets,forbes,0,10,0.0
iterative,web_omit,assets,dbpedia,0,3,0.0
iterative,web_omit,revenue,forbes,0,10,0.0
iterative,web_omit,revenue,dbpedia,0,5,0.0
iterative,web_omit,city,fullcontact,0,1,0.0
iterative,web_omit,city,dbpedia,1,1,1.0
iterative,web_omit,keypeople_name,fullcontact,0,1,0.0
iterative,web_omit,keypeople_name,dbpedia,0,1,0.0
