matcher,threshold,f1,precision,recall,true_positives,false_positives,false_negatives,string_similarity_function,string_tokenization,n_comparators,classifier,use_probabilities,n_features,hyperparams
RuleBasedMatcher,0.6,1.0,1.0,1.0,100,0,0,jaccard,word,3.0,,,,
RuleBasedMatcher,0.6,1.0,1.0,1.0,100,0,0,sorensen_dice,word,3.0,,,,
RuleBasedMatcher,0.7,1.0,1.0,1.0,100,0,0,sorensen_dice,word,3.0,,,,
RuleBasedMatcher,0.6,1.0,1.0,1.0,100,0,0,cosine,word,3.0,,,,
RuleBasedMatcher,0.7,1.0,1.0,1.0,100,0,0,cosine,word,3.0,,,,
RuleBasedMatcher,0.7,1.0,1.0,1.0,100,0,0,overlap,word,3.0,,,,
MLBasedMatcher,0.7,1.0,1.0,1.0,100,0,0,,,,rf,True,36.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'oob_score': False, 'warm_start': False}"
MLBasedMatcher,0.8,1.0,1.0,1.0,100,0,0,,,,rf,True,36.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'oob_score': False, 'warm_start': False}"
MLBasedMatcher,0.9,1.0,1.0,1.0,100,0,0,,,,rf,True,36.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'oob_score': False, 'warm_start': False}"
RuleBasedMatcher,0.6,0.9950248756218906,0.9900990099009901,1.0,100,1,0,overlap,word,3.0,,,,
MLBasedMatcher,0.9,0.9950248756218906,0.9900990099009901,1.0,100,1,0,,,,logreg,True,36.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
MLBasedMatcher,0.3,0.9950248756218906,0.9900990099009901,1.0,100,1,0,,,,rf,True,36.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'oob_score': False, 'warm_start': False}"
MLBasedMatcher,0.4,0.9950248756218906,0.9900990099009901,1.0,100,1,0,,,,rf,True,36.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'oob_score': False, 'warm_start': False}"
MLBasedMatcher,0.5,0.9950248756218906,0.9900990099009901,1.0,100,1,0,,,,rf,True,36.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'oob_score': False, 'warm_start': False}"
MLBasedMatcher,0.6,0.9950248756218906,0.9900990099009901,1.0,100,1,0,,,,rf,True,36.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'oob_score': False, 'warm_start': False}"
MLBasedMatcher,0.3,0.9950248756218906,0.9900990099009901,1.0,100,1,0,,,,gbdt,True,36.0,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'log_loss', 'max_depth': 7, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'subsample': 0.8, 'tol': 0.0001, 'validation_fraction': 0.1, 'warm_start': False}"
MLBasedMatcher,0.4,0.9950248756218906,0.9900990099009901,1.0,100,1,0,,,,gbdt,True,36.0,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'log_loss', 'max_depth': 7, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'subsample': 0.8, 'tol': 0.0001, 'validation_fraction': 0.1, 'warm_start': False}"
