step,runtime_sec,prompt_tokens,completion_tokens,embedding_tokens,total_tokens,cost_usd,requests,web_searches
Step 1: Schema Matching (cached),716.14,750131,51311,0,801442,0.0,122,0
Step 2: Validation & Training,2004.57,674886,19220,0,694106,0.0,2396,0
Step 3: FAISS Candidate Generation,568.2,48022,1545,0,49567,0.0,82,0
Step 4: Training Set Comparison (cached),15893.06,3550332,67846,891604,3618178,0.0,8429,0
Step 5: Matcher Optimization,580.39,0,0,0,0,0.0,0,0
Step 7: Data Fusion (cached),10.22,1358,228,0,1586,0.0,1,0
Step 7.5: Fusion Validation (validation_llm) (cached),260.83,56489,9387,0,65876,0.0,134,0
Step 7.5: Fusion Validation (validation_llm_omit) (cached),246.78,54484,9362,0,63846,0.0,134,0
Step 7.5: Fusion Validation (validation_web) (cached),903.0,1661037,37697,0,1698734,0.0,0,134
Step 7.5: Fusion Validation (validation_web_omit) (cached),926.8,1651445,37557,0,1689002,0.0,0,134
Step 7.6: End-to-End Metrics,17.37,0,0,0,0,0.0,0,0
Step 7.7: Fusion Optimization (all) (cached),414.07,135903,11553,0,147456,0.0,41,0
Step 8: Test Set Evaluation (cached),24.98,0,0,0,0,0.0,0,0
Step 7: Fusion Optimization (all) (cached),3373.05,1464703,119690,0,1584393,0.0,433,0
Step 7.8: Fusion Optimization (Provided Val) (cached),518.22,244555,18534,0,263089,0.0,64,0
Step 7: Fusion Optimization (llm_no_val),4.99,0,0,0,0,0.0,0,0
TOTAL,26462.66,10293345,383930,891604,10677275,0.0,11836,268
