Genre Code,Genre Name,Subgenre Code,Subgenre Name,Sub-Subgenre Code,Sub-Subgenre Name
10,Action,1010,Shooter,101010,First-Person Shooter (FPS)
10,Action,1010,Shooter,101020,Third-Person Shooter (TPS)
10,Action,1010,Shooter,101030,Top-Down Shooter
10,Action,1010,Shooter,101040,Shoot 'em Up (Shmup)
10,Action,1010,Shooter,101050,Tactical Shooter
10,Action,1010,Shooter,101060,Hero Shooter
10,Action,1010,Shooter,101070,Looter Shooter
10,Action,1020,Fighting,102010,Traditional Fighting
10,Action,1020,Fighting,102020,Platform Fighting
10,Action,1020,Fighting,102030,Arena Fighting
10,Action,1020,Fighting,102040,Wrestling
10,Action,1030,Beat 'em Up / Hack and Slash,103010,Side-Scrolling Beat 'em Up
10,Action,1030,Beat 'em Up / Hack and Slash,103020,3D Beat 'em Up
10,Action,1030,Beat 'em Up / Hack and Slash,103030,Hack and Slash
10,Action,1030,Beat 'em Up / Hack and Slash,103040,Character Action
10,Action,1040,Platformer,104010,2D Platformer
10,Action,1040,Platformer,104020,3D Platformer
10,Action,1040,Platformer,104030,Puzzle Platformer
10,Action,1040,Platformer,104040,Precision Platformer
10,Action,1040,Platformer,104050,Metroidvania
10,Action,1040,Platformer,104060,Endless Runner
10,Action,1050,Stealth,105010,Stealth Action
10,Action,1050,Stealth,105020,Tactical Stealth
10,Action,1060,Survival,106010,Survival Horror
10,Action,1060,Survival,106020,Survival Crafting
10,Action,1060,Survival,106030,Battle Royale
20,Adventure,2010,Point-and-Click,201010,Classic Point-and-Click
20,Adventure,2010,Point-and-Click,201020,Hidden Object
20,Adventure,2020,Graphic Adventure,202010,Visual Novel
20,Adventure,2020,Graphic Adventure,202020,Interactive Movie
20,Adventure,2020,Graphic Adventure,202030,Walking Simulator
20,Adventure,2030,Text Adventure,203010,Interactive Fiction
20,Adventure,2030,Text Adventure,203020,MUD (Multi-User Dungeon)
20,Adventure,2040,Puzzle Adventure,204010,Escape Room
20,Adventure,2040,Puzzle Adventure,204020,Mystery Adventure
25,Action-Adventure,2510,Open World,251010,Sandbox
25,Action-Adventure,2510,Open World,251020,Open World Action
25,Action-Adventure,2510,Open World,251030,Crime Sandbox
25,Action-Adventure,2520,Action-Adventure,252010,Action-Adventure
25,Action-Adventure,2520,Action-Adventure,252020,Survival Horror Action
25,Action-Adventure,2520,Action-Adventure,252030,Immersive Sim
30,Role-Playing Game (RPG),3010,Action RPG,301010,Action RPG (ARPG)
30,Role-Playing Game (RPG),3010,Action RPG,301020,Souls-like
30,Role-Playing Game (RPG),3010,Action RPG,301030,Looter RPG
30,Role-Playing Game (RPG),3010,Action RPG,301040,Monster Hunting
30,Role-Playing Game (RPG),3020,Turn-Based RPG,302010,Classic Turn-Based RPG
30,Role-Playing Game (RPG),3020,Turn-Based RPG,302020,JRPG (Japanese RPG)
30,Role-Playing Game (RPG),3020,Turn-Based RPG,302030,WRPG (Western RPG)
30,Role-Playing Game (RPG),3020,Turn-Based RPG,302040,Dungeon Crawler
30,Role-Playing Game (RPG),3030,Tactical RPG,303010,Tactical RPG (TRPG)
