variant,model,train_total,train_positives,train_negatives,f1,precision,recall,tokens_used
faiss_small,gb,100,34,66,0.8841201716738197,0.8583333333333333,0.911504424778761,0
faiss_small,xgb,100,34,66,0.8733624454148472,0.8620689655172413,0.8849557522123894,0
faiss_small,hist_gb,100,34,66,0.8713692946058091,0.8203125,0.9292035398230089,0
faiss_small,rf,100,34,66,0.8558558558558558,0.8715596330275229,0.8407079646017699,0
faiss_small,logreg,100,34,66,0.8535564853556487,0.8095238095238095,0.9026548672566371,0
faiss_large,xgb,600,200,400,0.8860759493670886,0.8467741935483871,0.9292035398230089,0
faiss_large,rf,600,200,400,0.8803418803418804,0.8512396694214877,0.911504424778761,0
faiss_large,hist_gb,600,200,400,0.8765957446808511,0.8442622950819673,0.911504424778761,0
faiss_large,logreg,600,200,400,0.875,0.8267716535433071,0.9292035398230089,0
faiss_large,gb,600,200,400,0.8536585365853657,0.7894736842105263,0.9292035398230089,0
active,hist_gb,1566,203,1363,0.8974358974358975,0.8677685950413223,0.9292035398230089,0
active,xgb,1566,203,1363,0.8879310344827587,0.865546218487395,0.911504424778761,0
active,rf,1566,203,1363,0.8859649122807017,0.8782608695652174,0.8938053097345132,0
active,gb,1566,203,1363,0.8713692946058091,0.8203125,0.9292035398230089,0
active,logreg,1566,203,1363,0.8666666666666667,0.8188976377952756,0.9203539823008849,0
faiss_small_plus_random,xgb,120,34,86,0.8803418803418804,0.8512396694214877,0.911504424778761,0
faiss_small_plus_random,hist_gb,120,34,86,0.8765957446808511,0.8442622950819673,0.911504424778761,0
faiss_small_plus_random,rf,120,34,86,0.8597285067873304,0.8796296296296297,0.8407079646017699,0
faiss_small_plus_random,logreg,120,34,86,0.8595744680851064,0.8278688524590164,0.8938053097345132,0
faiss_small_plus_random,gb,120,34,86,0.7751937984496124,0.6896551724137931,0.8849557522123894,0
faiss_large_plus_random,hist_gb,720,200,520,0.888888888888889,0.8307692307692308,0.9557522123893806,0
faiss_large_plus_random,xgb,720,200,520,0.8851063829787233,0.8524590163934426,0.9203539823008849,0
faiss_large_plus_random,rf,720,200,520,0.8760330578512397,0.8217054263565892,0.9380530973451328,0
faiss_large_plus_random,logreg,720,200,520,0.8728813559322035,0.8373983739837398,0.911504424778761,0
faiss_large_plus_random,gb,720,200,520,0.8655462184873949,0.824,0.911504424778761,0
active_plus_random,rf,1779,191,1588,0.8851063829787233,0.8524590163934426,0.9203539823008849,0
active_plus_random,hist_gb,1779,191,1588,0.8839285714285714,0.8918918918918919,0.8761061946902655,0
active_plus_random,gb,1779,191,1588,0.8796680497925311,0.828125,0.9380530973451328,0
active_plus_random,xgb,1779,191,1588,0.8776371308016878,0.8387096774193549,0.9203539823008849,0
active_plus_random,logreg,1779,191,1588,0.8666666666666667,0.8188976377952756,0.9203539823008849,0
provided_faiss_small,rf,100,34,66,0.8533333333333332,0.8571428571428571,0.8495575221238938,0
provided_faiss_small,hist_gb,100,34,66,0.8533333333333332,0.8571428571428571,0.8495575221238938,0
provided_faiss_small,logreg,100,34,66,0.8458149779735682,0.8421052631578947,0.8495575221238938,0
provided_faiss_small,gb,100,34,66,0.8458149779735682,0.8421052631578947,0.8495575221238938,0
provided_faiss_small,xgb,100,34,66,0.8458149779735682,0.8421052631578947,0.8495575221238938,0
provided_faiss_large,rf,600,200,400,0.8776371308016878,0.8387096774193549,0.9203539823008849,0
provided_faiss_large,xgb,600,200,400,0.8734693877551021,0.8106060606060606,0.9469026548672567,0
provided_faiss_large,logreg,600,200,400,0.8713692946058091,0.8203125,0.9292035398230089,0
provided_faiss_large,gb,600,200,400,0.870967741935484,0.8,0.9557522123893806,0
provided_faiss_large,hist_gb,600,200,400,0.8559670781893004,0.8,0.9203539823008849,0
provided_active,rf,1241,203,1038,0.8925619834710744,0.8372093023255814,0.9557522123893806,0
provided_active,hist_gb,1241,203,1038,0.8879668049792532,0.8359375,0.9469026548672567,0
provided_active,xgb,1241,203,1038,0.884297520661157,0.8294573643410853,0.9469026548672567,0
provided_active,gb,1241,203,1038,0.8816326530612245,0.8181818181818182,0.9557522123893806,0
provided_active,logreg,1241,203,1038,0.8724279835390948,0.8153846153846154,0.9380530973451328,0
provided_faiss_small_plus_random,rf,120,34,86,0.8520179372197311,0.8636363636363636,0.8407079646017699,0
provided_faiss_small_plus_random,hist_gb,120,34,86,0.8461538461538463,0.8181818181818182,0.8761061946902655,0
provided_faiss_small_plus_random,xgb,120,34,86,0.8458149779735682,0.8421052631578947,0.8495575221238938,0
provided_faiss_small_plus_random,logreg,120,34,86,0.8421052631578947,0.8347826086956521,0.8495575221238938,0
provided_faiss_small_plus_random,gb,120,34,86,0.8421052631578947,0.8347826086956521,0.8495575221238938,0
provided_faiss_large_plus_random,rf,720,200,520,0.8833333333333333,0.8346456692913385,0.9380530973451328,0
provided_faiss_large_plus_random,hist_gb,720,200,520,0.8816326530612245,0.8181818181818182,0.9557522123893806,0
provided_faiss_large_plus_random,logreg,720,200,520,0.8713692946058091,0.8203125,0.9292035398230089,0
